audio_file|text
wavs/audio_0001.wav|Let me end this!
wavs/audio_0002.wav|I come for you, Pantheon.
wavs/audio_0003.wav|The power of an aspect, wasted on a fool!
wavs/audio_0004.wav|Tryndamere! This is your destiny!
wavs/audio_0005.wav|I killed your tribe. Now, join them!
wavs/audio_0006.wav|I will gut you, and tear you from existence, trickster!
wavs/audio_0007.wav|Aspect of change! Nowyoudie!
wavs/audio_0008.wav|Your annihilation beckons!
wavs/audio_0009.wav|Hear this cursed form sing!
wavs/audio_0010.wav|You would fight me?! Come, let me show you hell!
wavs/audio_0011.wav|Come! Destiny awaits!
wavs/audio_0012.wav|Sorrow… I shall deliver it to you.
wavs/audio_0013.wav|I am notyourenemy, I amtheenemy!
wavs/audio_0014.wav|I will sever your limbs! I will carve your souls!
wavs/audio_0015.wav|Carnage… Ohhhhhh…
wavs/audio_0016.wav|I am the god killer!
wavs/audio_0017.wav|Your death awaits!
wavs/audio_0018.wav|Come, let me show you darkness!
wavs/audio_0019.wav|Carnage is my method.
wavs/audio_0020.wav|Suffer, as I suffer!
wavs/audio_0021.wav|Violence… distracts me from these chains!
wavs/audio_0022.wav|I am Darkin! Your gods fear me!
wavs/audio_0023.wav|I will hack and chop and cleave, and sunder the filth of your forms!
wavs/audio_0024.wav|I begged for death, now I am its bringer!
wavs/audio_0025.wav|Fight! Join me in death!
wavs/audio_0026.wav|Do not go gentle into that good night
wavs/audio_0027.wav|Tricks, Akali? They will not hide you from me, face your doom.
wavs/audio_0028.wav|Another foolish god, even the phoenix shall end.
wavs/audio_0029.wav|Scissors for legs… Okay, I thought I had seen stupid designs before… Alright, let's go.
wavs/audio_0030.wav|Look at your noble courage, Darius! Now learn… despair.
wavs/audio_0031.wav|I know your name, Fiora. This is not a duel you shall win.
wavs/audio_0032.wav|A statue? Rock shatters as easily as bone! Come!
wavs/audio_0033.wav|Guns and oranges? Are you a cliché or a joke? Come! Fight! Die!
wavs/audio_0034.wav|Scream 'Demacia', Garen! Scream its name before I crush you,andit!
wavs/audio_0035.wav|I kill gods, priestess. Let us continue this fight… until all things stop!
wavs/audio_0036.wav|A worthy vessel! Come, Jax!
wavs/audio_0037.wav|You would rush towards me, Kai'Sa? What fool would build a strategy on that idea? Come, let us begin.
wavs/audio_0038.wav|Let me show you your error, Kayle! You are not worthy of ascension! You, are not worthy of the worms!
wavs/audio_0039.wav|I did not think my fellows weak, Rhaast! Already you disappoint me!
wavs/audio_0040.wav|Ooh, a shadow warrior! How edgy!
wavs/audio_0041.wav|I chose a sword, the noblest weapon, Rhaast. You- seriously, I don't understand… Were you trapped in the gardening section?
wavs/audio_0042.wav|A scythe? A scythe?! Are you planning on murdering fields of wheat?!
wavs/audio_0043.wav|A lightning squirrel? Thank you! Your death will amuse me!
wavs/audio_0044.wav|Are you a joke, you loud, horrible thing? I shall kill youandyour steed!
wavs/audio_0045.wav|Where is your head, rock thing? Where is the neck I shall sever?
wavs/audio_0046.wav|Am I challenged by a tree?! Fine, let me build a pyre from you!
wavs/audio_0047.wav|You would bind yourself to this realm. Morgana? Fine, let me show you the ground!
wavs/audio_0048.wav|You are unloved, Mundo! Now, face judgement!
wavs/audio_0049.wav|Nasus, is your wisdom enough to know your fate? I am your death!
wavs/audio_0050.wav|Your noble purpose amuses me, Nautilus! Fight me, see true death!
wavs/audio_0051.wav|Hail Pantheon! How noble and proud he carries himself! Come betrayer! Comefiend!
wavs/audio_0052.wav|Hail Pantheon! Let me hear you cry of friendship! Let me hear you scream of brotherhood!
wavs/audio_0053.wav|Hail Pantheon! See the weapon I have become! Watch asyouare destroyed!
wavs/audio_0054.wav|A bird? You would challenge me with a bird?! Come!
wavs/audio_0055.wav|Renekton! In your madness, you know my suffering! Though I shall end yours.
wavs/audio_0056.wav|Riven, dance, child! That broken blade is no match for me!
wavs/audio_0057.wav|You would challenge me in a machine? You are a strange spirit, Rumble.
wavs/audio_0058.wav|A spirit blade, master Shen? Test it against me, let me shatter your illusions!
wavs/audio_0059.wav|Yes Sion! I kill even that which will not die! I end all things!
wavs/audio_0060.wav|I will find a way to tear down the heavens and reveal you as fiends! Not today obviously…
wavs/audio_0061.wav|Hail the protector! Hail Taric, aspect of- get a haircut!
wavs/audio_0062.wav|Cowardly spirit, how annoying you are! I will savour killing you, Teemo!
wavs/audio_0063.wav|A troll king?! Come! Defend your throne, king of trolls!
wavs/audio_0064.wav|Yes, Tryndamere! I am the cause of your suffering! See if you can cut justice from me!
wavs/audio_0065.wav|Remember the screams of your kinsmen as you fall to me, Tryndamere!
