audio_file|text
wavs/audio_0001.wav|Now I'm angry.
wavs/audio_0002.wav|You must follow.
wavs/audio_0003.wav|I know the way.
wavs/audio_0004.wav|Nothing can hold me back.
wavs/audio_0005.wav|Stampede!
wavs/audio_0006.wav|Oh, you can milk just about anything with nipples.
wavs/audio_0007.wav|Nothing can hold me back.
wavs/audio_0008.wav|You must follow.
wavs/audio_0009.wav|I know the way.
wavs/audio_0010.wav|Now I'm angry.
wavs/audio_0011.wav|Don't mess with the bull, young man. You'll get the horns.
wavs/audio_0012.wav|Nothing can hold me back!
