audio_file|text
wavs/audio_0001.wav|TheMedardasdo not forgive, or forget.
wavs/audio_0002.wav|Wrath is necessary to defeat our enemies, Mel.
wavs/audio_0003.wav|Maybe there is more to your magic, Mel.
wavs/audio_0004.wav|Still need your mother to help you finish the job.
wavs/audio_0005.wav|You take after your father more than you know, child.
wavs/audio_0006.wav|I've fell mightier foes than you, Baron!
wavs/audio_0007.wav|An Elder dragon! YOUR POWER WILL HASTEN MY CONQUEST!
wavs/audio_0008.wav|Your hide will become my platemail, dragon!
wavs/audio_0009.wav|I will SQUASH you, bug!
wavs/audio_0010.wav|Pain: the best teacher!
wavs/audio_0011.wav|Amuse me!
wavs/audio_0012.wav|Ancestors: Hear out thunder!
wavs/audio_0013.wav|Hubris ends in death.
wavs/audio_0014.wav|My steel never dulls.
wavs/audio_0015.wav|Fall in line!
wavs/audio_0016.wav|You are nothing!
wavs/audio_0017.wav|You, challenge me?
wavs/audio_0018.wav|Kneel before me!
wavs/audio_0019.wav|How precious.
wavs/audio_0020.wav|Disobedient child!
wavs/audio_0021.wav|Embrace your demise!
wavs/audio_0022.wav|Respect the Medardas!
wavs/audio_0023.wav|Fight with dignity.
wavs/audio_0024.wav|Look me in the eye!
wavs/audio_0025.wav|Abysmal.
wavs/audio_0026.wav|Die withhonor!
wavs/audio_0027.wav|Pathetic pup!
wavs/audio_0028.wav|Such mediocrity!
wavs/audio_0029.wav|I go… to my ancestors…
wavs/audio_0030.wav|The Medardas… live on…
wavs/audio_0031.wav|Mel… I…
wavs/audio_0032.wav|With precision!
wavs/audio_0033.wav|You're in my range!
wavs/audio_0034.wav|My drakehound's bite's DEEP!
wavs/audio_0035.wav|I could use a massage. Tell me… Are you good with your hands?
wavs/audio_0036.wav|Kiramman. You think it wise to bite the hand that feeds you?
wavs/audio_0037.wav|The hand ofNoxus… Hope you're not too attached to that title.
wavs/audio_0038.wav|Ughhh… Draven.
wavs/audio_0039.wav|'The man of progress'? You stood on the shoulders of giants to build your legacy.
wavs/audio_0040.wav|'Progress' aged you terribly, boy.
wavs/audio_0041.wav|Jinx. My daughter wouldn't bring you to heel, soIwill.
wavs/audio_0042.wav|Sending my daughter after me, you wretched witch. Too afraid to get your own hands dirty?
wavs/audio_0043.wav|Show meallthat you have learned, Mel.
wavs/audio_0044.wav|So, you have embraced the Wolf? Have you finally realized your potential, Mel?
wavs/audio_0045.wav|The exile. You betrayed your nation for a useless cause. Pathetic.
wavs/audio_0046.wav|The Desert Rose! As wild as they say. I look forward to this.
wavs/audio_0047.wav|Jericho Swain: a raven will never kill a wolf.
wavs/audio_0048.wav|Your absence provided a vacuum I was able to fill, Vi. Let me show you my gratitude.
wavs/audio_0049.wav|You think yourself a god, Viktor. Let's see if you still bleed.
wavs/audio_0050.wav|I will give you purpose, beast… as my weapon of war!
wavs/audio_0051.wav|Requesting my audience? How bold! Others have lost their head for less.
wavs/audio_0052.wav|A pity you will not live long enough to regret this!
wavs/audio_0053.wav|Mortal Kombat X
wavs/audio_0054.wav|Look at you: such wasted potential.
wavs/audio_0055.wav|You think yourself my equal? HAAA, HA-HA-HAA!!!
wavs/audio_0056.wav|I didn't realize I'd get to sample the local fare so soon!
wavs/audio_0057.wav|Quit acting the fool!
wavs/audio_0058.wav|I made you who you are, Kiramman. And I can unmake you just as easily.
wavs/audio_0059.wav|Might doesn't solve every problem, boy.
wavs/audio_0060.wav|Your brother must be ashamed he's related to such… filth.
wavs/audio_0061.wav|War begins with the first drop of blood!
wavs/audio_0062.wav|What did my daughter see in you, Jayce? I taught her better.
wavs/audio_0063.wav|You outlived your use, Jinx.
wavs/audio_0064.wav|Even a child could see through your illusions.
wavs/audio_0065.wav|Ever the Fox, little girl—sly, but soft.
wavs/audio_0066.wav|Watch and learn, Mel.
wavs/audio_0067.wav|Remember your studies, Mel.
wavs/audio_0068.wav|Be proud, Noxian: there is no greater honor than to face death without fear.
wavs/audio_0069.wav|THE WORLDKNEELSTO THE MEDARDAS!
wavs/audio_0070.wav|For a life of struggle and sublimation, consider your death… a gift.
wavs/audio_0071.wav|Another dead traitor. If only you'd made something of yourself, Riven.
wavs/audio_0072.wav|A rose may have thorns; but a wolf, hasfangs.
wavs/audio_0073.wav|All vision, no foresight.
wavs/audio_0074.wav|Don't worry, Vi;your cityis in much better hands now!
wavs/audio_0075.wav|Men. They all think themselves gods.
wavs/audio_0076.wav|You would've better served as my beast of war.
wavs/audio_0077.wav|Neverspeak ill of my family.
wavs/audio_0078.wav|The frail have no business in battle!
wavs/audio_0079.wav|Hah. A waste of my energy.
wavs/audio_0080.wav|All is fair in love, and war.
wavs/audio_0081.wav|Vision, might, even guille—you lackedallof them.
wavs/audio_0082.wav|The choice is simple: yield, or be cut down.
wavs/audio_0083.wav|You should've pledged your loyalty… tome.
wavs/audio_0084.wav|Your arrogance was your undoing.
wavs/audio_0085.wav|You've changed, Mel. Perhaps now you won't disappoint me.
wavs/audio_0086.wav|Mel… I always knew this day would come.
wavs/audio_0087.wav|Noxusprizes strength above all else. But sacrifice, is the mark of a true warrior.
wavs/audio_0088.wav|Stand and fight! Medardas do not suffer the useless.
wavs/audio_0089.wav|As your General,allof your mistakes reflect on my leadership. You would be wise to remember that.
wavs/audio_0090.wav|I demand absolute loyalty from my soldiers. Do nottestme.
wavs/audio_0091.wav|Most of you will die; an easy sacrifice.
wavs/audio_0092.wav|Coach Carter
wavs/audio_0093.wav|Tunnels in your eyes. Lava in your veins. Shadows in your heart.
wavs/audio_0094.wav|I did not truly know love, until I held Kino in my arms for the first time.
wavs/audio_0095.wav|Like the fox, we watch, Listen… And like the wolf, we strike at first opportunity!
wavs/audio_0096.wav|The shadow beneath my daughter grows longer. By securing power, I can protect her.
wavs/audio_0097.wav|Strength deepens with sacrifice; and I have given everything.
wavs/audio_0098.wav|House of Cards
wavs/audio_0099.wav|All will be crushed by the full might of the Medardas!
