audio_file|text
wavs/audio_0001.wav|Aww.
wavs/audio_0002.wav|Where are we going?
wavs/audio_0003.wav|Come play with me.
wavs/audio_0004.wav|Hey, come back.
wavs/audio_0005.wav|Okay.
wavs/audio_0006.wav|Let's find some friends.
wavs/audio_0007.wav|Aww.
wavs/audio_0008.wav|Let's be friends forever.
wavs/audio_0009.wav|Aww.
wavs/audio_0010.wav|Where are we going?
wavs/audio_0011.wav|Let's find some friends.
wavs/audio_0012.wav|Come play with me.
wavs/audio_0013.wav|Okay.
wavs/audio_0014.wav|Let me give you a hug.
wavs/audio_0015.wav|I thought you'd never pick me.
