audio_file|text
wavs/audio_0001.wav|I shall endure.
wavs/audio_0002.wav|The cycle closes.
wavs/audio_0003.wav|I am the snow, wind, and ice.
wavs/audio_0004.wav|Find peace.
wavs/audio_0005.wav|I bring the storm.
wavs/audio_0006.wav|The Freljord awakens.
wavs/audio_0007.wav|A great darkness approaches.
wavs/audio_0008.wav|Life passes so swiftly.
wavs/audio_0009.wav|Do not tempt the blizzard.
wavs/audio_0010.wav|I shall endure.
wavs/audio_0011.wav|I will not forsake my home.
wavs/audio_0012.wav|Laying an egg isn't as easy as it looks.
wavs/audio_0013.wav|The chicken or the egg? Actually I came first.
wavs/audio_0014.wav|Forever watchful.
wavs/audio_0015.wav|Think beyond one lifetime.
wavs/audio_0016.wav|Winter wind, guide me.
wavs/audio_0017.wav|We are all connected.
wavs/audio_0018.wav|Let's soar.
wavs/audio_0019.wav|A thousand lives will I give for the Freljord.
wavs/audio_0020.wav|I will be reborn.
wavs/audio_0021.wav|I am neither the first, nor the last.
wavs/audio_0022.wav|I have felt this corruption before.
wavs/audio_0023.wav|Take time to reflect.
wavs/audio_0024.wav|Something ancient stirs.
wavs/audio_0025.wav|What change will this wind bring?
wavs/audio_0026.wav|Meaning, in every snowflake.
wavs/audio_0027.wav|I dream of eras past.
wavs/audio_0028.wav|So young, so naïve!
wavs/audio_0029.wav|Poor creatures, so confined by a single life!
wavs/audio_0030.wav|On my wings.
