audio_file|text
wavs/audio_0001.wav|I want a turn!
wavs/audio_0002.wav|This is fun!
wavs/audio_0003.wav|¿Onta bebé?, aquí está. Fuego.
wavs/audio_0004.wav|Play time!
wavs/audio_0005.wav|Take that!
wavs/audio_0006.wav|Don't make me hurt you!
wavs/audio_0007.wav|I want a turn!
wavs/audio_0008.wav|Sun, sun, burns you a little bit.
wavs/audio_0009.wav|Can they do this?
wavs/audio_0010.wav|Agh...! Tibbers.
wavs/audio_0011.wav|Agh...! Tibbers.
wavs/audio_0012.wav|What's your favorite aminal? A bear?
wavs/audio_0013.wav|You smell like burning!
wavs/audio_0014.wav|Don't be a scaredy cat!
wavs/audio_0015.wav|Try to keep up!
wavs/audio_0016.wav|Are we there yet?
wavs/audio_0017.wav|I never play with matches.
wavs/audio_0018.wav|Have you seen my bear Tibbers?
wavs/audio_0019.wav|Hop, skip, jump!
wavs/audio_0020.wav|Tibbers!
wavs/audio_0021.wav|Get 'em, Tibbers!
wavs/audio_0022.wav|Bear hug!
wavs/audio_0023.wav|Yay, Tibbers!
wavs/audio_0024.wav|Found him!
wavs/audio_0025.wav|I will live, I will hit, still it's your turn to beit
wavs/audio_0026.wav|You can't come to Tibbers' tea party! Bleh!
wavs/audio_0027.wav|You wanna play too? It'll be fun!
