audio_file|text
wavs/audio_0001.wav|Coward! May you die with your eyes closed.
wavs/audio_0002.wav|I will face you, sister.
wavs/audio_0003.wav|You face an Iceborn!
wavs/audio_0004.wav|Feel winter's sting.
wavs/audio_0005.wav|This is my warning to you…!
wavs/audio_0006.wav|Fate will treat you coldly!
wavs/audio_0007.wav|Never. Lose. Focus!
wavs/audio_0008.wav|I do my best work from afar.
wavs/audio_0009.wav|Flee from the cold.
wavs/audio_0010.wav|You face true ice—you face death.
wavs/audio_0011.wav|Fate did not choose you.
wavs/audio_0012.wav|As ice shatters, so shall you!
wavs/audio_0013.wav|My arrows fly true.
wavs/audio_0014.wav|I was raised for war! I am Iceborn.
wavs/audio_0015.wav|My aim is steady.
wavs/audio_0016.wav|Hmph, the cold does not forgive.
wavs/audio_0017.wav|You would challenge an Iceborn?
wavs/audio_0018.wav|I greet you; as a Freljordian!
wavs/audio_0019.wav|'Thunk'!
wavs/audio_0020.wav|My mercy has limits!
wavs/audio_0021.wav|I don't miss.
wavs/audio_0022.wav|All that frost touches, we know.
wavs/audio_0023.wav|Reveal what is hidden.
wavs/audio_0024.wav|Show us a path!
wavs/audio_0025.wav|Anivia, guide us!
wavs/audio_0026.wav|Spirit, reveal our way.
wavs/audio_0027.wav|Lead our way.
wavs/audio_0028.wav|Anivia, how often have I sought your guidance? And how like a god to betray a mortal's trust!
wavs/audio_0029.wav|Braum! What are you doing over there?! Are you drunk?
wavs/audio_0030.wav|So, Braum. No shirt, huh? And I don't have pants. Yay, Freljord.
wavs/audio_0031.wav|Braum, we are a winter people from a frozen land. So we must… pop it, pop it!
wavs/audio_0032.wav|Gragas! Are you blind?! You're on the wrong side…again!
wavs/audio_0033.wav|Lissandra, the fate of our people hangs in the balance, and you betray me?!
wavs/audio_0034.wav|You named me battlesister and kin, Sejuani.Do not make me fight you!
wavs/audio_0035.wav|So, which one is the pig? Kidding!
wavs/audio_0036.wav|Trolls are the enemy of mankind! You will die like a beast!
wavs/audio_0037.wav|Tryndamere…? What have you become?!
wavs/audio_0038.wav|How do you like the curves? I was talking about the bow.
wavs/audio_0039.wav|Shaman, I am no enemy of the old gods or Sejuani! Must we fight?
