audio_file|text
wavs/audio_0001.wav|Hmph. Tragic.
wavs/audio_0002.wav|You call yourself a dragon? You're low-flame at best.
wavs/audio_0003.wav|Low dragon, unfitting of the name.
wavs/audio_0004.wav|A dragon that still needs wings to fly? Keep trying, you'll get there.
wavs/audio_0005.wav|I never bite. Too uncouth.
wavs/audio_0006.wav|Suns never burn for the benefit of dust.
wavs/audio_0007.wav|Return to dust!
wavs/audio_0008.wav|What a pity.
wavs/audio_0009.wav|Think cosmic... like this!
wavs/audio_0010.wav|Boring me is dangerous.
wavs/audio_0011.wav|Admire... then die!
wavs/audio_0012.wav|Be useful. Be stardust. I'll help.
wavs/audio_0013.wav|Too bad.
wavs/audio_0014.wav|I'm going to throw a star at you now. Good luck.
wavs/audio_0015.wav|Defending yourself? Adorably futile.
wavs/audio_0016.wav|Irritating cluster of particles.
wavs/audio_0017.wav|I tried to like you.
wavs/audio_0018.wav|Impending doom. Exciting, isn't it?
wavs/audio_0019.wav|You are woefully underprepared.
wavs/audio_0020.wav|Defenses? Laughable.
wavs/audio_0021.wav|I'll indulge your foolhardy nature.
wavs/audio_0022.wav|Live through this, and we'll chat.
wavs/audio_0023.wav|Lighten up, destruction needn't be a maudlin affair.
wavs/audio_0024.wav|You are more useful as dust.
wavs/audio_0025.wav|Plenty more to come.
wavs/audio_0026.wav|Not everyone shines brightly enough!
wavs/audio_0027.wav|Illuminate.
wavs/audio_0028.wav|Oh, youwillshine.
wavs/audio_0029.wav|To atoms!
wavs/audio_0030.wav|Tedious being.
wavs/audio_0031.wav|Be brighter. I'll help.
wavs/audio_0032.wav|Dragon's breath it is.
wavs/audio_0033.wav|Uselessandintolerable. Charming.
wavs/audio_0034.wav|Bravery is absurd, but admirable.
wavs/audio_0035.wav|Why would I spare such mediocrity?
wavs/audio_0036.wav|Melt.
wavs/audio_0037.wav|Smolder, then implode!
wavs/audio_0038.wav|Congratulations, you have earned my contempt.
wavs/audio_0039.wav|They are merely dust.
wavs/audio_0040.wav|Youwillknow your place.
wavs/audio_0041.wav|Nothing a little star fire cannot fix.
wavs/audio_0042.wav|A snow globe? Perfect for my collect—to destroy you.Destroy you!
wavs/audio_0043.wav|Liandry's torment... my benefit.
wavs/audio_0044.wav|Perfect for the bi-millennial celestial masquerade ball.
wavs/audio_0045.wav|IfBardandKindredcan pull off wearing a mask, so can I.
wavs/audio_0046.wav|There are no echoes where I'm from.
wavs/audio_0047.wav|So many magic staves.
wavs/audio_0048.wav|But a shadow of sound.
wavs/audio_0049.wav|Hats are always fashionable.
