audio_file|text
wavs/audio_0001.wav|I'd rather be home anyway.
wavs/audio_0002.wav|Move! I'm busy.
wavs/audio_0003.wav|Deep breaths.
wavs/audio_0004.wav|Teach me something new.
wavs/audio_0005.wav|Stay back!
wavs/audio_0006.wav|Leave me alone!
wavs/audio_0007.wav|You're in my personal space.
wavs/audio_0008.wav|Interesting choice.
wavs/audio_0009.wav|This is field research!
wavs/audio_0010.wav|Don't touch me.
wavs/audio_0011.wav|I have better things to do!
wavs/audio_0012.wav|Let's get this over with!
wavs/audio_0013.wav|You're angering the spirits!
wavs/audio_0014.wav|Respect my boundaries.
wavs/audio_0015.wav|Thanks! I hate it.
wavs/audio_0016.wav|Pew!
wavs/audio_0017.wav|Phow!
wavs/audio_0018.wav|Prrring!
wavs/audio_0019.wav|All together now...!
wavs/audio_0020.wav|Haestryr... I'm s-... sorry...
wavs/audio_0021.wav|I haven't... done enough.
wavs/audio_0022.wav|Back to the Spirit Realm...
wavs/audio_0023.wav|Through the looking glass!
wavs/audio_0024.wav|A door, unlocked!
wavs/audio_0025.wav|One realm, to another!
wavs/audio_0026.wav|Ysjarn, I've been searching for you. My friend Haestryr, heneedsyour help.
wavs/audio_0027.wav|Ashe, you want to bridge theFreljord'sdivide. But unity isn't harmony.
wavs/audio_0028.wav|I'm something of a witch myself, you know!
wavs/audio_0029.wav|You're not human. But... you're not a spirit either. You are however... Very loud.
wavs/audio_0030.wav|The pain you carry... I've never seen anything like it.
wavs/audio_0031.wav|Nagakabourosis your god, right? I'd love to know more.
wavs/audio_0032.wav|Wolf and Lamb... I didn't think I'd meet you so soon!
wavs/audio_0033.wav|You are no witch, Lissandra. You're adisease.
wavs/audio_0034.wav|Same hat? Same hat.
wavs/audio_0035.wav|Well met, Ramhaurg! I have so much to share with you since we last spoke!
wavs/audio_0036.wav|This is the culmination of my research. Spirit friend... I can help you!
wavs/audio_0037.wav|I recognize those ravens. Are you their owner? Or, do they own you?
wavs/audio_0038.wav|We meet again, spirit walker. Care to catch up after this?
wavs/audio_0039.wav|I can feel you trying to invade my mind, Valhir. Cut it out...!
wavs/audio_0040.wav|You stain your blade with spirits, Yone! Why hurt what you can heal?
wavs/audio_0041.wav|"""A yordle!! I've never seen one in the material realm before!"
wavs/audio_0042.wav|Aurora gasps.
wavs/audio_0043.wav|It seems we're temporary collaborators. I know just the topic to... WHERE ARE YOU GOING?!
wavs/audio_0044.wav|Your chaos!
wavs/audio_0045.wav|I've exceeded my capacity for social interaction today...!
wavs/audio_0046.wav|My work is at a critical juncture, so this interruption is not ideal.
wavs/audio_0047.wav|Oh, you're interested in spirits? I have so much to share! Where do I start...
wavs/audio_0048.wav|Ta-da! Hilarious, right?
wavs/audio_0049.wav|That had the components of a joke, but... it wasn't funny.
wavs/audio_0050.wav|Ysjarn, be reborn. Haestryr and I will find you again.
wavs/audio_0051.wav|Ashe, your ideas may be noble, but your execution is lacking.
wavs/audio_0052.wav|Thank you, Illaoi. I'll be adding theSerpent Islesto my list.
wavs/audio_0053.wav|I'll tell you when I'm ready to go, Kindred.
wavs/audio_0054.wav|Lissandra — I'llhealwhat you've defiled.
wavs/audio_0055.wav|Goodbye, little friend.
wavs/audio_0056.wav|So strange, yet so cute.
wavs/audio_0057.wav|We'll talk later, Ramhaurg!
wavs/audio_0058.wav|Ah, finally! Now where was I?
wavs/audio_0059.wav|I can still help...! Let me organize my notes, and we can try again.
wavs/audio_0060.wav|These turrets are not conducive to my work.
wavs/audio_0061.wav|That was... easy. Who constructed this?
wavs/audio_0062.wav|See you again soon, spirit walker! I always appreciate our repartee.
wavs/audio_0063.wav|Your feral nature doesn't scare me, Valhir.
wavs/audio_0064.wav|Killing spirits willneverbring you peace, Yone.
wavs/audio_0065.wav|Where do yordles go when they die...? Back toBandle City?
wavs/audio_0066.wav|Bookmarked for later study.
wavs/audio_0067.wav|Enough of that, thank you.
wavs/audio_0068.wav|Well, that was a waste of my time.
wavs/audio_0069.wav|Back to work.
wavs/audio_0070.wav|You'll enjoy being a spirit, it's nice.
wavs/audio_0071.wav|Knowledge is power... Try reading a book.
wavs/audio_0072.wav|I lost my train of thought.
wavs/audio_0073.wav|It's such a relief to have you here, Ramhaurg. Our other colleagues are so... loud.
wavs/audio_0074.wav|Ooh, another spirit! Wow, look at you! Oh... you're going that way? Okay, we'll talk later!
wavs/audio_0075.wav|Spirit walker; I'm looking forward to working with you again. I'll show you what I've learned.
