audio_file|text
wavs/audio_0001.wav|Bone is a poor alternative.
wavs/audio_0002.wav|Look. You're leaking.
wavs/audio_0003.wav|Metal is harder than flesh.
wavs/audio_0004.wav|Your steam is escaping.
wavs/audio_0005.wav|Bone is a poor alternative.
wavs/audio_0006.wav|Doctor Who
wavs/audio_0007.wav|Quake in fear, fleshling.
wavs/audio_0008.wav|I put the 'go' in 'golem'. That was humor. Other golems find that to be appropriately funny.
wavs/audio_0009.wav|A rolling stone gathers no moss
wavs/audio_0010.wav|I remain focused.
wavs/audio_0011.wav|Precisely.
wavs/audio_0012.wav|As long as it takes.
wavs/audio_0013.wav|The time of man has come to an end.
wavs/audio_0014.wav|Fired up and ready to serve.
