audio_file|text
wavs/audio_0001.wav|Going.
wavs/audio_0002.wav|The inferno begins!
wavs/audio_0003.wav|The fires of vengeance.
wavs/audio_0004.wav|Their scars will be warning.
wavs/audio_0005.wav|I purify this one!
wavs/audio_0006.wav|Forged in pain!
wavs/audio_0007.wav|Burn! Hahaha!
wavs/audio_0008.wav|Burn! Hahaha!
wavs/audio_0009.wav|This body is just one of many!
wavs/audio_0010.wav|You can't contain me, summoner!
wavs/audio_0011.wav|After millennia, I am free!
wavs/audio_0012.wav|Yes...
wavs/audio_0013.wav|Like wildfire.
wavs/audio_0014.wav|Going.
wavs/audio_0015.wav|I'm on a short fuse.
wavs/audio_0016.wav|I will blaze a trail.
wavs/audio_0017.wav|I am the fire that cleanses the world!
wavs/audio_0018.wav|Is that fireproof?
wavs/audio_0019.wav|Ready to set the world on fire? Heheheh...
