audio_file|text
wavs/audio_0001.wav|Ahh... Is this what people call 'strategy'?
wavs/audio_0002.wav|Wait... you're a baron?!
wavs/audio_0003.wav|Hey Nashor! You full of blood or sludge? Or both!!
wavs/audio_0004.wav|Yes! New toothpicks!
wavs/audio_0005.wav|I'vealwayswanted a dragonskin belt!
wavs/audio_0006.wav|Mm! I love a good pair of wings.
wavs/audio_0007.wav|Wow, your mouth ishuge!
wavs/audio_0008.wav|Last time I licked a gromp I sneezed for days.
wavs/audio_0009.wav|Herald, huh? That a title, or a name?
wavs/audio_0010.wav|Gotta work on that posture, Herald—take it from me!
wavs/audio_0011.wav|CanI squeeze blood from a stone...?
wavs/audio_0012.wav|Hold still! Gonna sharpen my teeth.
wavs/audio_0013.wav|Just one pat...!
wavs/audio_0014.wav|A family-sized meal? Forme?!
wavs/audio_0015.wav|I'll fight youandyour kids!
wavs/audio_0016.wav|You're so cute Ihaveto eat you!
wavs/audio_0017.wav|Scuttle right into my mouth!
wavs/audio_0018.wav|You protect, I attack!
wavs/audio_0019.wav|No blood for you, Sion!
wavs/audio_0020.wav|I don't like you, Sion!
wavs/audio_0021.wav|Ooh, Talon! Show me your blades!
wavs/audio_0022.wav|Not sharp enough, Talon!
wavs/audio_0023.wav|You smile in fear, Vlad!
wavs/audio_0024.wav|Let's compare fangs, Vlad!
wavs/audio_0025.wav|Well, hi!
wavs/audio_0026.wav|I'll savor this.
wavs/audio_0027.wav|Fight...? Fight!!
wavs/audio_0028.wav|Isn't this fun?
wavs/audio_0029.wav|Lookin' tasty.
wavs/audio_0030.wav|Don't think—feel.
wavs/audio_0031.wav|Aww, loosen up!
wavs/audio_0032.wav|I wanna see you lose control!
wavs/audio_0033.wav|A snack!
wavs/audio_0034.wav|This makes us friends!
wavs/audio_0035.wav|Stomach's rumblin'...!
wavs/audio_0036.wav|Who gets first bite?
wavs/audio_0037.wav|Biting's allowed!
wavs/audio_0038.wav|I wasmadefor this!
wavs/audio_0039.wav|You like fighting too?!
wavs/audio_0040.wav|They always run!
wavs/audio_0041.wav|You're afraid!
