audio_file|text
wavs/audio_0001.wav|Afraid of the dark? Wise!
wavs/audio_0002.wav|Your souls will feed the Void!
wavs/audio_0003.wav|You shall not escape!
wavs/audio_0004.wav|Who will be eaten first?
wavs/audio_0005.wav|There will be no end to your suffering!
wavs/audio_0006.wav|You have stains upon your soul... perfect.
wavs/audio_0007.wav|You are such... hideous creatures!
wavs/audio_0008.wav|No! I do not live under a bed! Fool!
wavs/audio_0009.wav|Cho'Gath shrieks.
wavs/audio_0010.wav|Cho'Gath shrieks.
wavs/audio_0011.wav|Cho'Gath shrieks.
wavs/audio_0012.wav|Cho'Gath shrieks.
wavs/audio_0013.wav|Nom nom nom nom nom nom nom!
wavs/audio_0014.wav|Nom-nom-nom-nom-nom-nom-nom!
wavs/audio_0015.wav|Ah, the tangled webs we weave...
wavs/audio_0016.wav|Cho'Gath laughs menacingly.
wavs/audio_0017.wav|Cho'Gath laughs menacingly.
wavs/audio_0018.wav|Cho'Gath laughs menacingly.
wavs/audio_0019.wav|You... are a scourge upon the world.
wavs/audio_0020.wav|The daylight! It burns!
wavs/audio_0021.wav|Your voices are a scourge upon the world!
wavs/audio_0022.wav|Summoner, your darkness beckons.
wavs/audio_0023.wav|For the darkness!
wavs/audio_0024.wav|I shall bring them terror!
wavs/audio_0025.wav|Afraid of the dark? Wise!
wavs/audio_0026.wav|Death... is not the end for you! I have seen to it: for eternity, you are mine!
wavs/audio_0027.wav|You'd wish the world you know to end! Yeeeesssss...
