audio_file|text
wavs/audio_0001.wav|That just goes to show you you're nothin' but a Whiskey Delta!
wavs/audio_0002.wav|It's a Charlie Foxtrot!
wavs/audio_0003.wav|Consider yourself spanked, nugget!
wavs/audio_0004.wav|I got a bogey on my tail!
wavs/audio_0005.wav|Delta Sierra at 12 o'clock!
wavs/audio_0006.wav|Lima Oscar Lima!
wavs/audio_0007.wav|Zoooom...!
wavs/audio_0008.wav|Another fine sortie!
wavs/audio_0009.wav|Speed of heat!
wavs/audio_0010.wav|I'm on it, blackshoe!
wavs/audio_0011.wav|That just goes to show you you're nothin' but a Whiskey Delta!
wavs/audio_0012.wav|I'm up to snuff, and gots me an ace machine!
