audio_file|text
wavs/audio_0001.wav|Ignorant thralls!
wavs/audio_0002.wav|Ignorant thralls!
wavs/audio_0003.wav|Deny me no longer!
wavs/audio_0004.wav|Bring down the sun.
wavs/audio_0005.wav|They leave me no choice.
wavs/audio_0006.wav|Blind to the truth.
wavs/audio_0007.wav|This is necessary.
wavs/audio_0008.wav|No more lies.
wavs/audio_0009.wav|Knock, knock. Who's there? The moon... It's far away! You were alone the whole time!
wavs/audio_0010.wav|A man, a woman, and aYordlewalk into the sun... They die! Because it burns them alive?
wavs/audio_0011.wav|Follownofalse light.
wavs/audio_0012.wav|I speakonlytruth.
wavs/audio_0013.wav|They wouldnotlisten.
wavs/audio_0014.wav|Iwillbe heard.
wavs/audio_0015.wav|My eyes are open.
wavs/audio_0016.wav|Embrace the night.
wavs/audio_0017.wav|They couldnotbreak me.
wavs/audio_0018.wav|I cannot turn back.
wavs/audio_0019.wav|Dusk approaches.
wavs/audio_0020.wav|Night approaches!
wavs/audio_0021.wav|Dusk!
wavs/audio_0022.wav|Nightfall!
wavs/audio_0023.wav|Theycalled me a heretic. Now they are dead!
wavs/audio_0024.wav|My Little Pony: Friendship Is Magic
wavs/audio_0025.wav|A new moon is rising.
