audio_file|text
wavs/audio_0001.wav|Me charge cancellation fee.
wavs/audio_0002.wav|Time for one-on-one!
wavs/audio_0003.wav|Never merge! Always acquire!
wavs/audio_0004.wav|Mundo outsource your face!
wavs/audio_0005.wav|Mundo smash sales record.
wavs/audio_0006.wav|Synergy!
wavs/audio_0007.wav|Welcome to corporate retreat!
wavs/audio_0008.wav|Lay-off season!
wavs/audio_0009.wav|Me take this offline!
wavs/audio_0010.wav|Hello customer!
wavs/audio_0011.wav|Did you get Mundo's fax?
wavs/audio_0012.wav|Mundo do friendly takeover!
wavs/audio_0013.wav|You said divest?!
wavs/audio_0014.wav|File complaint with Mundo!
wavs/audio_0015.wav|Mundo downsize what he pleases!
wavs/audio_0016.wav|Me liquilate your asset!
wavs/audio_0017.wav|Time for budget cuts!
wavs/audio_0018.wav|No free lunch for you!
wavs/audio_0019.wav|Must satisfy client!
wavs/audio_0020.wav|Team building!
wavs/audio_0021.wav|Enjoy compensation!
wavs/audio_0022.wav|Mundo pitch new ideas!
wavs/audio_0023.wav|Great meeting... everyone...
wavs/audio_0024.wav|Where's... golden parachute...?
wavs/audio_0025.wav|No!... my assets...
wavs/audio_0026.wav|Money mayhem!
wavs/audio_0027.wav|Currency commotion!
wavs/audio_0028.wav|Trading tantrum!
wavs/audio_0029.wav|Mundo file copyright infringiment!
wavs/audio_0030.wav|Small Draven man louder than Mundo! Must fix HR problem.
wavs/audio_0031.wav|Mundo found new man to help with two day shipping.
wavs/audio_0032.wav|Mundo raise tide to lift all fishermen!
wavs/audio_0033.wav|Yes, Sion. Invest in lumber. Future of real estate.
wavs/audio_0034.wav|Mundo once played Little League, but Mundo didn't know which way to run.
wavs/audio_0035.wav|Bear man so intimidating. Mundo recruit you for marketing!
wavs/audio_0036.wav|Mundo hire you for company seminar!
wavs/audio_0037.wav|Business all matter of perspective. There! All better.
wavs/audio_0038.wav|Silly employees draw graph wrong. Mundo demonstrate good judgment!
wavs/audio_0039.wav|Best way to be rich is to not be poor!
wavs/audio_0040.wav|Wrong career, young Mundo.
wavs/audio_0041.wav|Mundo more prime time than small man with small axe!
wavs/audio_0042.wav|Sailorman ship too slow.
wavs/audio_0043.wav|Tide raised so good, fisherman find new career!
wavs/audio_0044.wav|See you all same time tomorrow!
wavs/audio_0045.wav|Timber! Mundo remove lumber middleman!
wavs/audio_0046.wav|Mundo give unemployment in triplicate!
wavs/audio_0047.wav|There's no crying in baseball!
wavs/audio_0048.wav|Bear man did not pass interview. Mundo sad.
wavs/audio_0049.wav|Mundo do exit interview now.
wavs/audio_0050.wav|Reduce overhead!
wavs/audio_0051.wav|See you at next business conference.
wavs/audio_0052.wav|Me fire you!
wavs/audio_0053.wav|Not culture-fit!
wavs/audio_0054.wav|Meeting adjourned!
wavs/audio_0055.wav|You and Mundo still golfing next week?
wavs/audio_0056.wav|Me give best severance package.
wavs/audio_0057.wav|Attention everyone! Hello! Hi! Is Mundo's voice working?
wavs/audio_0058.wav|Members of the board. Thank you for coming to Mundo's meeting. This will take only six hours.
wavs/audio_0059.wav|New memo to staff! Dear staff, Mundo firing only most of you! Congratulations.
wavs/audio_0060.wav|Welcome to Mundo's business conference. Do not confuse with summit, expo, or tradeshow.
wavs/audio_0061.wav|To all staff, do not underestistimate yourself. Mundo do that for you.
wavs/audio_0062.wav|Big profited housing bubble. Mundo must pop to grab all profit inside!
wavs/audio_0063.wav|When you work with Mundo, you are family, or uh... team. Mundo don't remember.
wavs/audio_0064.wav|Me never argue with employees. Me only explain why Mundo is right.
wavs/audio_0065.wav|When life gives Mundo lemons, Mundo order caviar. Caviar go great with lemons!
wavs/audio_0066.wav|Sometimes Mundo start business plan and don't know where to go! Fun to discover along the way.
wavs/audio_0067.wav|Mundo don't have case for phone. Be not irresponsible or poor.
wavs/audio_0068.wav|Company stock too high. Maybe warn friends with inside information.
wavs/audio_0069.wav|Mundo love internet. Teach Mundo everything, and never leaves.
wavs/audio_0070.wav|Invisible hand of free market great guy. Firm grip, and not real.
wavs/audio_0071.wav|Buy low sell... uh... low?
wavs/audio_0072.wav|Mundo used to be doctor. Saving lives less fun than making money.
wavs/audio_0073.wav|Mundo eat paperwork for breakfast.
wavs/audio_0074.wav|Mundo king of watercooler banter.
wavs/audio_0075.wav|Vegas not best place to gamble. Try stock market.
wavs/audio_0076.wav|Human resources nobody's friend but Mundo's.
wavs/audio_0077.wav|Never split difference. Only split heads!
wavs/audio_0078.wav|Me so generous. Pay everyone in stock options.
wavs/audio_0079.wav|Mundo owns what he pleases!
wavs/audio_0080.wav|Mundo good leader. Only tell employees good news.
wavs/audio_0081.wav|Mundo win friends. Mundo influence people. Easy!
wavs/audio_0082.wav|Oh, me also chef. Mundo cook through the books.
wavs/audio_0083.wav|Mundo say greed is good!
wavs/audio_0084.wav|Mundo's wealth trickle everywhere. That mundonomics.
wavs/audio_0085.wav|Assets everywhere. Acquire! Acquire!
wavs/audio_0086.wav|Look busy. Mundo comin'!
wavs/audio_0087.wav|Me enforce corporate policy!
wavs/audio_0088.wav|Bussiness, busyness, business.
wavs/audio_0089.wav|Mundo think, Mundo grow rich.
wavs/audio_0090.wav|Mundo wear multiple hats. VP, Presidentent, and CEO.
wavs/audio_0091.wav|Me never start in mailroom. Me too smart.
wavs/audio_0092.wav|Mundo love deadlines. Always say hello when they fly by!
wavs/audio_0093.wav|Me book meeting to schedule more meetings.
wavs/audio_0094.wav|Micromamage like a boss!
wavs/audio_0095.wav|Mundo got perfect zero on SATs. No mistacks.
wavs/audio_0096.wav|Mundo cut vacation... for motivation!
wavs/audio_0097.wav|Me make budget cuts so Mundo can have holiday bonus.
wavs/audio_0098.wav|Mundo never fly coach.
wavs/audio_0099.wav|Me forgot casual Friday... again!
wavs/audio_0100.wav|Mundo, walking salesforce.
wavs/audio_0101.wav|Mundo climb corporate ladder.
wavs/audio_0102.wav|Aww!
wavs/audio_0103.wav|Money grow on Mundo!
wavs/audio_0104.wav|No! Mundo embezzle that!
wavs/audio_0105.wav|Not my bailout!
wavs/audio_0106.wav|Me give loan!
wavs/audio_0107.wav|Mundo share wealth.
wavs/audio_0108.wav|Money, don't leave me!
wavs/audio_0109.wav|Argh!
wavs/audio_0110.wav|Mundo pay!
wavs/audio_0111.wav|Mundo sell!
wavs/audio_0112.wav|Mundo file!
wavs/audio_0113.wav|Paid!
wavs/audio_0114.wav|"""Filed!"
wavs/audio_0115.wav|Sold!
wavs/audio_0116.wav|Corporate Mundo!
wavs/audio_0117.wav|Mundo promote Mundo!
wavs/audio_0118.wav|Too big to fail!
wavs/audio_0119.wav|Clear my calendar. Mundo has important date with tax collector.
wavs/audio_0120.wav|Mundo give fashion advice. Every tie, a different flavor.
wavs/audio_0121.wav|Me dress for business trip. Everyone else, keep working.
wavs/audio_0122.wav|Hold my calls, Mundo take lunch break to run from responsibility.
wavs/audio_0123.wav|Mundo hate coming back to work after vacation.
wavs/audio_0124.wav|Mundo failing upward.
wavs/audio_0125.wav|Mundo back from suspension with pay.
wavs/audio_0126.wav|Mundo hear only incompetence.
wavs/audio_0127.wav|Hold on, yes, Mundo share ABCs of success: always be cleaving!
wavs/audio_0128.wav|Hold on, yes. Tell me about yourself. Okay, good. You're hired!
wavs/audio_0129.wav|Hush, quiet. Good news, Mundo have entry level job for you, just need two years' experience.
wavs/audio_0130.wav|Hang on, uh-uh, yeah, Mundo need you to work weekends.
wavs/audio_0131.wav|Market crash!
wavs/audio_0132.wav|Dump it all!
wavs/audio_0133.wav|Woo!
wavs/audio_0134.wav|Mundo bearish!
wavs/audio_0135.wav|Market surge!
wavs/audio_0136.wav|Mundo bullish!
wavs/audio_0137.wav|Pump it up!
wavs/audio_0138.wav|Me have to amputate!
wavs/audio_0139.wav|Yup. You crazy!
wavs/audio_0140.wav|Shut up please.
wavs/audio_0141.wav|No second opinion!
wavs/audio_0142.wav|Pay first please!
