audio_file|text
wavs/audio_0001.wav|Draven out!
wavs/audio_0002.wav|This is where Draven shines.
wavs/audio_0003.wav|Seems to be blood everywhere I go.
wavs/audio_0004.wav|Stand back.
wavs/audio_0005.wav|Hit 'em where it hurts.
wavs/audio_0006.wav|I have the best job.
wavs/audio_0007.wav|Something need killin'?
wavs/audio_0008.wav|Hear that? Death's knocking.
wavs/audio_0009.wav|Watch and learn.
wavs/audio_0010.wav|Yeah, yeah! Yeah!
wavs/audio_0011.wav|Yeah! Woo!
wavs/audio_0012.wav|Yeah, yeah! Yeah!
wavs/audio_0013.wav|Woo! Yeah! Yeah!
wavs/audio_0014.wav|Draven does it all… with style!
wavs/audio_0015.wav|Not Draven; Draaaaven.
wavs/audio_0016.wav|Subtle? I don't do subtle.
wavs/audio_0017.wav|I've got pain to serve.
wavs/audio_0018.wav|Doesn't get better than this.
wavs/audio_0019.wav|No followin' these footsteps.
wavs/audio_0020.wav|Let's admire me for a bit.
wavs/audio_0021.wav|Got axes, need victims.
wavs/audio_0022.wav|Perfection? I got that.
wavs/audio_0023.wav|Places to go, me to see.
wavs/audio_0024.wav|Now this is how to move.
wavs/audio_0025.wav|Don't be jealous.
wavs/audio_0026.wav|I'll take that.
wavs/audio_0027.wav|Why, thank you!
wavs/audio_0028.wav|Here we go.
wavs/audio_0029.wav|Nice axe, I'll take it.
wavs/audio_0030.wav|Draven out!
wavs/audio_0031.wav|Draven's makin' an exit.
wavs/audio_0032.wav|Who wants some Draven? Heheheh.
wavs/audio_0033.wav|Come out and play. Heheheh.
