audio_file|text
wavs/audio_0001.wav|Weak-willed fools!
wavs/audio_0002.wav|Dangling by a thread.
wavs/audio_0003.wav|Weak-willed fools!
wavs/audio_0004.wav|I have… refined tastes.
wavs/audio_0005.wav|The spiderdemands sacrifice.
wavs/audio_0006.wav|It will all be over soon.
wavs/audio_0007.wav|Oh, no!
wavs/audio_0008.wav|I hear a man likes a lady with legs.
wavs/audio_0009.wav|Hmm, why so tense? Relax.
wavs/audio_0010.wav|I know the true path.
wavs/audio_0011.wav|We must all make sacrifices.
wavs/audio_0012.wav|I know what lurks in the shadows.
wavs/audio_0013.wav|I can show them the way to divinity.
wavs/audio_0014.wav|Every web, a masterpiece.
wavs/audio_0015.wav|There's nothing to fear.
wavs/audio_0016.wav|Pull the strings. Watch them dance.
wavs/audio_0017.wav|My true beauty is beneath the skin.
wavs/audio_0018.wav|They need… guidance.
wavs/audio_0019.wav|Come closer, I don'tbite!
wavs/audio_0020.wav|The spider,I. Andyou, the fly.
wavs/audio_0021.wav|Only the spider is safe in her web.
wavs/audio_0022.wav|Sate my hunger!
wavs/audio_0023.wav|Tangled in my web.
wavs/audio_0024.wav|Simply delicious.
wavs/audio_0025.wav|They'll make quite the mess.
wavs/audio_0026.wav|The pain will be fleeting.
wavs/audio_0027.wav|Nothing but buzzing flies.
wavs/audio_0028.wav|Ha! It's all in the body language.
wavs/audio_0029.wav|Ha! Ladies wish they had legs like me.
wavs/audio_0030.wav|Skitter along, my pets.
wavs/audio_0031.wav|I can feel their fear.
wavs/audio_0032.wav|Now I thrive!
wavs/audio_0033.wav|Strand by silken strand.
wavs/audio_0034.wav|How fast can they run on two legs?
wavs/audio_0035.wav|I lurk in every shadow.
wavs/audio_0036.wav|Nothing escapes my web.
wavs/audio_0037.wav|Patience...
wavs/audio_0038.wav|Partake of my poison.
wavs/audio_0039.wav|The spider,I. Andyou, the fly.
wavs/audio_0040.wav|Surprise! Idobite.
