audio_file|text
wavs/audio_0001.wav|Once again, a woman's left unsatisfied.
wavs/audio_0002.wav|My... that's a lot of pain.
wavs/audio_0003.wav|The bigger they are, the more places you can hurt them.
wavs/audio_0004.wav|You're a lot to love.
wavs/audio_0005.wav|Finally! A man who can satisfy me.
wavs/audio_0006.wav|You're a lot to love.
wavs/audio_0007.wav|My... that's a lot of pain.
wavs/audio_0008.wav|Finally! A man who can satisfy me.
wavs/audio_0009.wav|The bigger they are, the more places you can hurt them.
wavs/audio_0010.wav|Don't worry, honey, I'm open to all types.
wavs/audio_0011.wav|What a magnificent creature... Let's kill it slowly!
wavs/audio_0012.wav|Cold blooded. Just like me.
wavs/audio_0013.wav|Not the first time I've had dragon.
wavs/audio_0014.wav|Don't worry, honey, I'm open to all types.
wavs/audio_0015.wav|What a magnificent creature... Let's kill it slowly!
wavs/audio_0016.wav|Cold blooded. Just like me.
wavs/audio_0017.wav|Not the first time I've had dragon.
wavs/audio_0018.wav|Love at first sight... And last.
wavs/audio_0019.wav|Scream. It makes it better.
wavs/audio_0020.wav|Come on, let's see those tears.
wavs/audio_0021.wav|I hope this hurts.
wavs/audio_0022.wav|Ohh, yes... Cry for me, honey.
wavs/audio_0023.wav|No...! Don't...! Stop...!
wavs/audio_0024.wav|Ooh, you're so hot when you're hurt.
wavs/audio_0025.wav|Make me feel...
wavs/audio_0026.wav|Hurting is yummy.
wavs/audio_0027.wav|Whimper.
wavs/audio_0028.wav|Don't be shy.
wavs/audio_0029.wav|Harder? Okay.
wavs/audio_0030.wav|Love me.
wavs/audio_0031.wav|Let me in!
wavs/audio_0032.wav|Let's find your spot, love.
wavs/audio_0033.wav|We're done when I'm done.
wavs/audio_0034.wav|That's it...!
wavs/audio_0035.wav|The more I cut away, the closer we'll get.
wavs/audio_0036.wav|My pleasure, your pain.
wavs/audio_0037.wav|Let me see you hurt.
wavs/audio_0038.wav|Everyone's pain tastes different. What flavor is yours?
wavs/audio_0039.wav|Shut up and scream.
wavs/audio_0040.wav|Hey there.
wavs/audio_0041.wav|Nothing personal, I just need you to suffer horribly.
wavs/audio_0042.wav|Like what you see? I'll rip off your eyelids!
wavs/audio_0043.wav|Yes... Yes...!
wavs/audio_0044.wav|I know you're hurting, but I can't feel without this.
wavs/audio_0045.wav|Beg me to stop.
wavs/audio_0046.wav|Careful. I'm a biter.
wavs/audio_0047.wav|They're just so... stabbable!
wavs/audio_0048.wav|Hope you like it rough.
wavs/audio_0049.wav|Your fear is delightful.
