audio_file|text
wavs/audio_0001.wav|This belongs in a museum. - So do you. Nazis... I hate these guys...
wavs/audio_0002.wav|This belongs in a museum. - So do you. Nazis... I hate these guys...
wavs/audio_0003.wav|Hey, your loss. But I get it.
wavs/audio_0004.wav|The uglier the monster, the more fun they are to shoot.
wavs/audio_0005.wav|Stand back! Let an expert handle this.
wavs/audio_0006.wav|Pick a timestream, kid.
wavs/audio_0007.wav|Hey Garen! How's your sister?
wavs/audio_0008.wav|Heh, this is so us! Right, Lux?
wavs/audio_0009.wav|This is flirty fighting.
wavs/audio_0010.wav|Aim for the legs...
wavs/audio_0011.wav|I'm gonna send you back to... wherever Yordles come from.
wavs/audio_0012.wav|Leave Lux alone, Zoe!
wavs/audio_0013.wav|I'm not even breaking a sweat.
wavs/audio_0014.wav|Tell me the odds, I dare you!
wavs/audio_0015.wav|No time to waste!
wavs/audio_0016.wav|Another day, another bullseye.
wavs/audio_0017.wav|I'll handle this!
wavs/audio_0018.wav|Time for a true display of skill.
wavs/audio_0019.wav|All part of the adventure.
wavs/audio_0020.wav|No sweat.
wavs/audio_0021.wav|Watch and learn!
wavs/audio_0022.wav|Obstacle, meet gauntlet.
wavs/audio_0023.wav|Hard work? Not today!
wavs/audio_0024.wav|I'm a professional.
wavs/audio_0025.wav|I'll make this look easy.
wavs/audio_0026.wav|Hah! I can blink and still not miss.
wavs/audio_0027.wav|You're between me and glory.
wavs/audio_0028.wav|Haha, I'm allergic to caution.
wavs/audio_0029.wav|Magic? Comin' at you.
wavs/audio_0030.wav|Oh-ho! It is so on.
wavs/audio_0031.wav|No problems here!
wavs/audio_0032.wav|Gauntlet, let's clear a path.
wavs/audio_0033.wav|This is really worth ten times the asking price.
wavs/audio_0034.wav|Can I get an itemized receipt? My accountant's way too good at his job.
wavs/audio_0035.wav|Nice. You can send the bill to my uncle's museum.
wavs/audio_0036.wav|Are you not intrigued?
wavs/audio_0037.wav|Lot of good mages out there! None of them are this hot!
wavs/audio_0038.wav|Over here!
wavs/audio_0039.wav|Now I'm here!
wavs/audio_0040.wav|Oh, a little girl! There's gotta be a twist. *gasps* It's the teddy bear, isn't it?!
wavs/audio_0041.wav|Oh, cool. Great. They have an Ascended. This should be fun.
wavs/audio_0042.wav|Hey, Ashe. I totally meant to return that Avarosan sculpture thingy. Is that an ice bow? That's a cool ice bow.
wavs/audio_0043.wav|A celestial dragon that throws stars. Well, this is totally normal. I can do this.
wavs/audio_0044.wav|Everyone! Watch your coin purses!
wavs/audio_0045.wav|Possession is 9/10ths of the law, Caitlyn. Those pre-Zaunite demon totems are mine fair and square.
wavs/audio_0046.wav|Okay, Camille. Fork over thatBrackernCrystal.
wavs/audio_0047.wav|Woo! Strong goggles game, Corki. Keep it up.
wavs/audio_0048.wav|Darkin? We're gonna need a bigger army!
wavs/audio_0049.wav|Jarro Lightfeather doesn't do autographs. Sorry.
wavs/audio_0050.wav|Listen, I have met exactly one Demacian I've liked. By the way, has Lux mentioned me at all? Just curious.
wavs/audio_0051.wav|Oh, okay, demigods! Well, universe, you seem to really want to screw with old Ezreal today!
wavs/audio_0052.wav|Oh, please, we gotta deal withdemigods?!I really need to up my rate.
wavs/audio_0053.wav|Demons? This is a job for Jarro Lightfeather.
wavs/audio_0054.wav|Aw, crap, I opened a mirror dimension again! ...Does my hair really look like that?
wavs/audio_0055.wav|Giantpetricitegargoyle. So it's gonna be one of those kind of days.
wavs/audio_0056.wav|Hey, brainface, you are why no one likes Yordle inventors.
wavs/audio_0057.wav|Can't manufacture magic in a lab, Jayce! Or good looks, for that matter.
wavs/audio_0058.wav|That mask is not art, Jhin. It's ancient history.
wavs/audio_0059.wav|Nope! I did not sign up for Jinx-level crazy.
wavs/audio_0060.wav|Hey, Lamb... is Wolf friendly?
wavs/audio_0061.wav|Oh, I've heard of theBlack Rose. Nasty reputation... I mean, uh, huge fan!
wavs/audio_0062.wav|Lucian! It's me... Jarro Lightfeather.
wavs/audio_0063.wav|I'm a mage. You're a mage. I'm blond. You're blonde. Doesn't it feel like we're made for each other?
wavs/audio_0064.wav|Hey, Lux! *clears throat* Hey, Lux. What're yah up to later? Let's hang.
wavs/audio_0065.wav|Don't pretend you didn't see me, Lux. That doesn't work.
wavs/audio_0066.wav|Hi, honey! Is it too soon to call you honey? It's too soon.
wavs/audio_0067.wav|Why is it always about strength with Noxians? How about vulnerability for once?
wavs/audio_0068.wav|Can you forge me a matching gauntlet?
wavs/audio_0069.wav|Heh! Piltovans! Always think they're the center of the universe.
wavs/audio_0070.wav|Well, you are just terrifying, aren't you, Pyke?
wavs/audio_0071.wav|So... Rakan. How serious are you and Xayah? Just asking.
wavs/audio_0072.wav|What the heck is that?!
