audio_file|text
wavs/audio_0001.wav|Afraid…
wavs/audio_0002.wav|Don't open your eyes!
wavs/audio_0003.wav|Please, no!
wavs/audio_0004.wav|Fear!
wavs/audio_0005.wav|Let me in!
wavs/audio_0006.wav|The scarecrow?
wavs/audio_0007.wav|Save me!
wavs/audio_0008.wav|Monster!
wavs/audio_0009.wav|We can't get out!
wavs/audio_0010.wav|It's here!
wavs/audio_0011.wav|It's alive!
wavs/audio_0012.wav|Demon!
wavs/audio_0013.wav|Help me!
wavs/audio_0014.wav|Open the door!
wavs/audio_0015.wav|No! No!
wavs/audio_0016.wav|It's in the house!
wavs/audio_0017.wav|Keep running!
wavs/audio_0018.wav|Are you afraid?
wavs/audio_0019.wav|Run!
wavs/audio_0020.wav|Don't leave me!
wavs/audio_0021.wav|Nooo!
wavs/audio_0022.wav|It's real!
wavs/audio_0023.wav|It won't die!
wavs/audio_0024.wav|Horror…
wavs/audio_0025.wav|Cut!
wavs/audio_0026.wav|Cutting!
wavs/audio_0027.wav|Reap!
wavs/audio_0028.wav|Sow!
wavs/audio_0029.wav|Shear!
wavs/audio_0030.wav|Annie… help me… Annie…
wavs/audio_0031.wav|De… ma… ci… a.
wavs/audio_0032.wav|Evelynn…
wavs/audio_0033.wav|Garen… brother… please don't hate me…
wavs/audio_0034.wav|Jinx! All your fault! All your fault!
wavs/audio_0035.wav|Grey man…
wavs/audio_0036.wav|Little… light…
wavs/audio_0037.wav|Sarah… Sarah…
wavs/audio_0038.wav|Nocturne…
wavs/audio_0039.wav|I'm always here. My. Little. Hero.
wavs/audio_0040.wav|Guilty. Guilty. Guilty.
wavs/audio_0041.wav|Stars…
wavs/audio_0042.wav|Raum…
wavs/audio_0043.wav|Vannis… don't hurt her…
wavs/audio_0044.wav|Tahm… Kench…
wavs/audio_0045.wav|Vayne. Give… us… a smile…
wavs/audio_0046.wav|Brother… how could you… betray us?
wavs/audio_0047.wav|Annie… help me… Annie…
wavs/audio_0048.wav|Agony.
wavs/audio_0049.wav|For… Demacia…
wavs/audio_0050.wav|Everybody… panic…
wavs/audio_0051.wav|Lamb… tell me a story…
wavs/audio_0052.wav|Little… light…
wavs/audio_0053.wav|Hide, Sarah… hide…
wavs/audio_0054.wav|Nightmares.
wavs/audio_0055.wav|Willump… I'll save you…
wavs/audio_0056.wav|The scarecrow took them all. Nobody left. But me.
wavs/audio_0057.wav|What is broken… can be reforged…
wavs/audio_0058.wav|Stars… hear me…
wavs/audio_0059.wav|Secrets.
wavs/audio_0060.wav|Share… and… share… alike…
wavs/audio_0061.wav|Addiction.
wavs/audio_0062.wav|The dark should fear me…
wavs/audio_0063.wav|Follow the wind…
wavs/audio_0064.wav|It's still out there.
wavs/audio_0065.wav|Fiddle… stiiiicksss…
wavs/audio_0066.wav|Monsters…
wavs/audio_0067.wav|You're not… real…
wavs/audio_0068.wav|So… afraid…
wavs/audio_0069.wav|Just a story…
wavs/audio_0070.wav|It's hunting us. It knows what we're afraid of.
wavs/audio_0071.wav|I'm coming to help. Where are you? I can't see you. I. Can't. See you.
wavs/audio_0072.wav|High above the rotten rows. Cloth and metal. Teeth and crows.
wavs/audio_0073.wav|Through the field. Down the lane. Voices never heard again!
wavs/audio_0074.wav|Fiddlesticks is just a fable. A story to scare children.
wavs/audio_0075.wav|They haven't come back from the fields. It's been three days.
wavs/audio_0076.wav|Fid-dle-sticks. End of men. Fid-dle-sticks. First of ten!
wavs/audio_0077.wav|Once upon a time… once… upon a time!
wavs/audio_0078.wav|Don't be scared. It can't hurt you.
wavs/audio_0079.wav|To our end.
wavs/audio_0080.wav|There's something in the field.
wavs/audio_0081.wav|I'm lost. Won't anybody help me?
wavs/audio_0082.wav|I'm so scared.
wavs/audio_0083.wav|See? It's just a scarecrow.
wavs/audio_0084.wav|Nothing to be afraid of.
wavs/audio_0085.wav|Come closer. Closer…
wavs/audio_0086.wav|It's dark. I can't find my way.
wavs/audio_0087.wav|Who's out there? Show yourself.
wavs/audio_0088.wav|Hungry.
wavs/audio_0089.wav|Fiddlesticks… Fiddlesticks…
wavs/audio_0090.wav|I hear crows.
wavs/audio_0091.wav|It moves around at night.
wavs/audio_0092.wav|All alone. Lost in the dark.
wavs/audio_0093.wav|I'll help you. Follow my voice…
wavs/audio_0094.wav|Is someone there?
wavs/audio_0095.wav|Fear!
wavs/audio_0096.wav|Harvest!
wavs/audio_0097.wav|What is that? What is that?
wavs/audio_0098.wav|Fear…
wavs/audio_0099.wav|It's not dead.
wavs/audio_0100.wav|Reap and sow. Reap and sow.
wavs/audio_0101.wav|Afraid?
wavs/audio_0102.wav|Fear…
