audio_file|text
wavs/audio_0001.wav|Poor form!
wavs/audio_0002.wav|Hello. My name is Inigo Montoya. You killed my father. Prepare to die.
wavs/audio_0003.wav|They dare not strike back.
wavs/audio_0004.wav|To the death.
wavs/audio_0005.wav|Strike quickly, strike deftly.
wavs/audio_0006.wav|Insolent peasants!
wavs/audio_0007.wav|Run them through!
wavs/audio_0008.wav|I never hold back.
wavs/audio_0009.wav|I am an artist with a sword—in more ways than one.
wavs/audio_0010.wav|Talent, honor, discipline... and pretty pictures!
wavs/audio_0011.wav|Sharp blade, sharp mind.
wavs/audio_0012.wav|At once!
wavs/audio_0013.wav|Is this supposed to be a challenge?
wavs/audio_0014.wav|In the blink of an eye.
wavs/audio_0015.wav|Precision, and grace.
wavs/audio_0016.wav|I have no equal.
wavs/audio_0017.wav|Do not hesitate!
wavs/audio_0018.wav|Such unrefined style.
wavs/audio_0019.wav|Others try—Isucceed.
wavs/audio_0020.wav|Submit. You have already lost!
wavs/audio_0021.wav|Hello. My name is Inigo Montoya. You killed my father. Prepare to die.
wavs/audio_0022.wav|Too slow!
wavs/audio_0023.wav|Poor form!
wavs/audio_0024.wav|One step ahead!
wavs/audio_0025.wav|Try again.
wavs/audio_0026.wav|Try me!
wavs/audio_0027.wav|En garde!
wavs/audio_0028.wav|Stand ready!
wavs/audio_0029.wav|Your move.
wavs/audio_0030.wav|I long for a worthy opponent.
