audio_file|text
wavs/audio_0001.wav|To the briny deep.
wavs/audio_0002.wav|To the briny deep.
wavs/audio_0003.wav|The tide turns.
wavs/audio_0004.wav|The mighty shark stalks his prey.
wavs/audio_0005.wav|Now, we strike!
wavs/audio_0006.wav|I'll show them awaterygrave.
wavs/audio_0007.wav|Mmm... Fish fish fish! (giggles) (gulps)
wavs/audio_0008.wav|Hmm, something's fishy! Hmm... (giggles) (gulps)
wavs/audio_0009.wav|One jump ahead of you.
wavs/audio_0010.wav|Wanna see a trick?
wavs/audio_0011.wav|Land, ho!
wavs/audio_0012.wav|No fear!
wavs/audio_0013.wav|They won't catch me.
wavs/audio_0014.wav|Swimmingly!
wavs/audio_0015.wav|Come on, let's go!
wavs/audio_0016.wav|In a splash!
wavs/audio_0017.wav|I'm ready.
wavs/audio_0018.wav|Lunch time!
wavs/audio_0019.wav|Shark!
wavs/audio_0020.wav|Feeding time!
wavs/audio_0021.wav|Not interested, ungh... (snores). Hm, huh? (huffs)
wavs/audio_0022.wav|You're boring, ugh... (snores) Huh, huh? (huffs)
wavs/audio_0023.wav|Let me at 'em!
