audio_file|text
wavs/audio_0001.wav|Fear is the first of many foes.
wavs/audio_0002.wav|Battle the infamy.
wavs/audio_0003.wav|We are the vanguard.
wavs/audio_0004.wav|I will lead the charge.
wavs/audio_0005.wav|The scoundrels will pay!
wavs/audio_0006.wav|What we do isright!
wavs/audio_0007.wav|Vile scourge.
wavs/audio_0008.wav|Show them the strength of Demacia!
wavs/audio_0009.wav|I will fight as long as I stand!
wavs/audio_0010.wav|Accursed villains.
wavs/audio_0011.wav|Victory awaits!
wavs/audio_0012.wav|Justice, by law, or by sword.
wavs/audio_0013.wav|Demacia...
wavs/audio_0014.wav|I will not falter!
wavs/audio_0015.wav|Darius, eat your heart out.
wavs/audio_0016.wav|Seven thousand and two— oh, I didn't see you standing there.
wavs/audio_0017.wav|Demacia...
wavs/audio_0018.wav|Hey, look, I'm holding the world up!
wavs/audio_0019.wav|I could do this for hours. Really.
wavs/audio_0020.wav|I've got a lot of weight on my shoulders!
wavs/audio_0021.wav|Demacia!
wavs/audio_0022.wav|Fear is the first of many foes.
wavs/audio_0023.wav|Fear not, I'm coming.
wavs/audio_0024.wav|Never forget why we fight!
wavs/audio_0025.wav|In the King's name.
wavs/audio_0026.wav|Forge onward!
wavs/audio_0027.wav|Our courage must never waver.
wavs/audio_0028.wav|I stand ready.
wavs/audio_0029.wav|Our deeds shape the future.
wavs/audio_0030.wav|This world needs hope.
wavs/audio_0031.wav|I bring justice.
wavs/audio_0032.wav|Demacia marches as one.
wavs/audio_0033.wav|To protect our land.
wavs/audio_0034.wav|Be bold; be just!
wavs/audio_0035.wav|For Demacia.
wavs/audio_0036.wav|Keep faith in yourself.
wavs/audio_0037.wav|We fight for those who cannot.
wavs/audio_0038.wav|Charge!
wavs/audio_0039.wav|Forward!
wavs/audio_0040.wav|For the cause!
wavs/audio_0041.wav|Justice!
wavs/audio_0042.wav|Extend the hand of Noxus, pull back a stump.
wavs/audio_0043.wav|Darius, you are a butcher, not a general.
wavs/audio_0044.wav|Come forth, you will find honor in death.
wavs/audio_0045.wav|The glory of Demacia will never fade.
wavs/audio_0046.wav|No matter your numbers, I will not yield.
wavs/audio_0047.wav|Stay resolute!
wavs/audio_0048.wav|Hold fast!
wavs/audio_0049.wav|Demacia!
wavs/audio_0050.wav|My heart and sword always for Demacia.
