audio_file|text
wavs/audio_0001.wav|Shubbanuffa.
wavs/audio_0002.wav|Gnar!
wavs/audio_0003.wav|Shubbanuffa.
wavs/audio_0004.wav|Kshaa!
wavs/audio_0005.wav|Vrooboo.
wavs/audio_0006.wav|Vimaga.
wavs/audio_0007.wav|Wap!
wavs/audio_0008.wav|Nakotak.
wavs/audio_0009.wav|Vigishu!
wavs/audio_0010.wav|Raag!
wavs/audio_0011.wav|Hwa!
wavs/audio_0012.wav|Wabbo!
wavs/audio_0013.wav|Tibbahs!
wavs/audio_0014.wav|Shargh!
wavs/audio_0015.wav|Marmess!
wavs/audio_0016.wav|Mo'kay.
wavs/audio_0017.wav|Shoo shoo? Bahnah!
wavs/audio_0018.wav|Oga manni maxa.
wavs/audio_0019.wav|Reeshoova!
wavs/audio_0020.wav|Gnar.
wavs/audio_0021.wav|Shagoovara!
wavs/audio_0022.wav|Onna rega.
wavs/audio_0023.wav|Okanoo.
wavs/audio_0024.wav|Ahanga!
wavs/audio_0025.wav|Ganaloo mo.
wavs/audio_0026.wav|Ovagarava!
wavs/audio_0027.wav|Hursh, rao!
wavs/audio_0028.wav|Okalanno mata.
wavs/audio_0029.wav|Maga.
wavs/audio_0030.wav|Oga lagga.
wavs/audio_0031.wav|Fue huega.
wavs/audio_0032.wav|Goova.
wavs/audio_0033.wav|Haygo vaygo!
wavs/audio_0034.wav|Shugi shugi shugi!
wavs/audio_0035.wav|Jay Watford.
wavs/audio_0036.wav|GNAR!
wavs/audio_0037.wav|GNAR!
wavs/audio_0038.wav|GNAR!
wavs/audio_0039.wav|Gnar gada!
