audio_file|text
wavs/audio_0001.wav|Yeah, yeah...
wavs/audio_0002.wav|Yah!
wavs/audio_0003.wav|Happy hour incoming!
wavs/audio_0004.wav|Last call!
wavs/audio_0005.wav|Fight time!
wavs/audio_0006.wav|Time to roll out the barrel!
wavs/audio_0007.wav|Dodge this!
wavs/audio_0008.wav|The only time I have a drinking problem is when I spill it!
wavs/audio_0009.wav|Get some!
wavs/audio_0010.wav|Need some grog...
wavs/audio_0011.wav|Yeah, yeah...
wavs/audio_0012.wav|I'm on it...
wavs/audio_0013.wav|Don't get pushy!
wavs/audio_0014.wav|I'll drink you under the table, scrub!
wavs/audio_0015.wav|If you're buying, I'm in!
