audio_file|text
wavs/audio_0001.wav|End of the line.
wavs/audio_0002.wav|Like fish in a barrel.
wavs/audio_0003.wav|They picked the wrong fight.
wavs/audio_0004.wav|Go ahead. I like moving targets.
wavs/audio_0005.wav|This is gonna tickle.
wavs/audio_0006.wav|Think I'm bluffin'?
wavs/audio_0007.wav|Aaw,  tarnation...
wavs/audio_0008.wav|Everyone's a hero... till you shoot off a leg or two.
wavs/audio_0009.wav|I like my enemies two ways: dead, or about to be.
wavs/audio_0010.wav|Easy, partner.
wavs/audio_0011.wav|Got any bright ideas?
wavs/audio_0012.wav|Always trouble.
wavs/audio_0013.wav|Let's settle the score.
wavs/audio_0014.wav|I got no time for games.
wavs/audio_0015.wav|What are you playin' at?
wavs/audio_0016.wav|Try me.
wavs/audio_0017.wav|You've gotta ask yourself one question; do I feel lucky? Well do ya, punk?
wavs/audio_0018.wav|Haa.
wavs/audio_0019.wav|Hope you weren't planning to die of natural causes.
wavs/audio_0020.wav|Don't die, yet! Heh, that was only a warning shot.
wavs/audio_0021.wav|Night-night!
wavs/audio_0022.wav|Lights out.
wavs/audio_0023.wav|All in.
wavs/audio_0024.wav|Lights out!
wavs/audio_0025.wav|Night-night!
wavs/audio_0026.wav|All in!
wavs/audio_0027.wav|Bettin' blind.
wavs/audio_0028.wav|Bettin' blind!
wavs/audio_0029.wav|I got your 'darkness'.
wavs/audio_0030.wav|Who's in the dark now?
