audio_file|text
wavs/audio_0001.wav|I do not rest.
wavs/audio_0002.wav|Embrace death.
wavs/audio_0003.wav|Trample their bones.
wavs/audio_0004.wav|The living will fall.
wavs/audio_0005.wav|Never relent.
wavs/audio_0006.wav|The shadow approaches.
wavs/audio_0007.wav|War is eternal.
wavs/audio_0008.wav|Ride out.
wavs/audio_0009.wav|Their souls beg for release.
wavs/audio_0010.wav|Send me to battle.
wavs/audio_0011.wav|The grave calls.
wavs/audio_0012.wav|I do not rest.
wavs/audio_0013.wav|I am beyond death.
wavs/audio_0014.wav|Cower!
wavs/audio_0015.wav|Run!
wavs/audio_0016.wav|Terror!
wavs/audio_0017.wav|Your life is a burden. I bring you freedom!
wavs/audio_0018.wav|You won't live to see your world destroyed.
wavs/audio_0019.wav|Face death!
wavs/audio_0020.wav|Torment!
wavs/audio_0021.wav|Behold, the might of the Shadow Isles.
