audio_file|text
wavs/audio_0001.wav|Life is too short for fear.
wavs/audio_0002.wav|I slayed greater serpents as a child.
wavs/audio_0003.wav|Here they call you a monster. In Buhru, we would call you dinner.
wavs/audio_0004.wav|Now... we begin.
wavs/audio_0005.wav|The vortex is all.
wavs/audio_0006.wav|Reality is brutal.
wavs/audio_0007.wav|Youwillbe tested.
wavs/audio_0008.wav|Ha ha ha, you think you can beat me?
wavs/audio_0009.wav|We never stop.
wavs/audio_0010.wav|A good fight.
wavs/audio_0011.wav|To live... is to fight.
wavs/audio_0012.wav|This is the first lesson.
wavs/audio_0013.wav|You are not in motion.
wavs/audio_0014.wav|You stagnated.
wavs/audio_0015.wav|They need wisdom. They don't need teeth.
wavs/audio_0016.wav|Ha! Let's begin again!
wavs/audio_0017.wav|You will be destroyed.
wavs/audio_0018.wav|This is a great day.
wavs/audio_0019.wav|Blessed is motion.
wavs/audio_0020.wav|This will be quick.
wavs/audio_0021.wav|I am here to test souls.
wavs/audio_0022.wav|I am going to walk all over them.
wavs/audio_0023.wav|This fits me better than Gangplank.
wavs/audio_0024.wav|My god is motion, but speed is useful.
wavs/audio_0025.wav|Who is Randuin? Was she a priestess?
wavs/audio_0026.wav|Sterak? It is the fury of themotherI will bring.
wavs/audio_0027.wav|The Kraken. The Serpent. The Hydra. A god's appearance is limited only by those observing it.
wavs/audio_0028.wav|It is my god that protects me, but these metal clothes are nice.
wavs/audio_0029.wav|I like this. I should buy everyone one of these.
wavs/audio_0030.wav|Only what moves, only what lives... has value.
wavs/audio_0031.wav|Things should be held only when we need them.
wavs/audio_0032.wav|It is not what we have, it is what we can throw away.
wavs/audio_0033.wav|When I am done with this... it will make a fine offering.
wavs/audio_0034.wav|Ha!
wavs/audio_0035.wav|Ha!
wavs/audio_0036.wav|Haa!
wavs/audio_0037.wav|This will be a good day, if you live.
wavs/audio_0038.wav|Drive forward. it is destiny that calls you.
wavs/audio_0039.wav|I don't want you to fail, I want you to learn.
wavs/audio_0040.wav|Seize today, and you've earned tomorrow.
wavs/audio_0041.wav|I don't want you to worship. I want you to learn.
wavs/audio_0042.wav|Now... do you see the truth?
wavs/audio_0043.wav|My god doesn't want you to kneel. It wants you to fight.
wavs/audio_0044.wav|Your soul drowns. Fight.
wavs/audio_0045.wav|Death is only one outcome.
