audio_file|text
wavs/audio_0001.wav|As you wish.
wavs/audio_0002.wav|By your command.
wavs/audio_0003.wav|For tranquility.
wavs/audio_0004.wav|At once.
wavs/audio_0005.wav|The storm approaches.
wavs/audio_0006.wav|Gale winds unleashed.
wavs/audio_0007.wav|The tempest is upon them.
wavs/audio_0008.wav|Say hello to the winds of— I don't know what came over me.
wavs/audio_0009.wav|Upon the wind.
wavs/audio_0010.wav|With ease.
wavs/audio_0011.wav|In harmony.
wavs/audio_0012.wav|Breathlessly.
wavs/audio_0013.wav|Swiftly!
wavs/audio_0014.wav|As you wish.
wavs/audio_0015.wav|And you thought it was just a harmless breeze!
wavs/audio_0016.wav|The tempest is at your command.
