audio_file|text
wavs/audio_0001.wav|Who dares defy my will?
wavs/audio_0002.wav|Topple their forces!
wavs/audio_0003.wav|I love a challenge.
wavs/audio_0004.wav|Righteous retribution!
wavs/audio_0005.wav|Purge the unjust.
wavs/audio_0006.wav|I must... not... fail.
wavs/audio_0007.wav|Awareness is the key to victory! Be sure you never let your guard dow— awwowawwoah.
wavs/audio_0008.wav|Sunder any army, crumble any mountain, leap the great— owwawww... oh, my toesies.
wavs/audio_0009.wav|No quarter for the wicked.
wavs/audio_0010.wav|Stand with me, brothers and sisters.
wavs/audio_0011.wav|Find me greater foes.
wavs/audio_0012.wav|Protect the faithful.
wavs/audio_0013.wav|We shall rest when we are dead!
wavs/audio_0014.wav|Demacia, now and forever.
wavs/audio_0015.wav|Who dares defy my will?
wavs/audio_0016.wav|Demacia!
wavs/audio_0017.wav|Demacia!!
wavs/audio_0018.wav|Demacia! Get some!
wavs/audio_0019.wav|You like my weapon? Come on over for a closer inspection!
wavs/audio_0020.wav|Fetch the rest of your team... I'll wait.
wavs/audio_0021.wav|By my will, this shall be finished.
