audio_file|text
wavs/audio_0001.wav|Let me at 'em.
wavs/audio_0002.wav|Not taking this place whileI'mhere, Nashor!
wavs/audio_0003.wav|Don't want what you're heralding, thanks.
wavs/audio_0004.wav|Hit me like you mean it!
wavs/audio_0005.wav|Don't you let up now!
wavs/audio_0006.wav|Now it's my turn.
wavs/audio_0007.wav|Bring it on.
wavs/audio_0008.wav|Think you can beatme?
wavs/audio_0009.wav|Show me what you're made of!
wavs/audio_0010.wav|Give me your best!
wavs/audio_0011.wav|Yeah, yeah, I see ya.
wavs/audio_0012.wav|Focus! Might learn something.
wavs/audio_0013.wav|Need me to hold back?
wavs/audio_0014.wav|Got a challenge for ya.
wavs/audio_0015.wav|Quit fighting clean!
wavs/audio_0016.wav|Come on, too easy!
wavs/audio_0017.wav|Toughen up!
wavs/audio_0018.wav|Heh, watch this!
wavs/audio_0019.wav|Could do this with my eyes closed.
wavs/audio_0020.wav|At least make me try!
wavs/audio_0021.wav|This one's gotfire!
wavs/audio_0022.wav|You cruisin' for a bruisin'?
wavs/audio_0023.wav|You got guts.
wavs/audio_0024.wav|Ica... thia...
wavs/audio_0025.wav|You got me... good...
wavs/audio_0026.wav|Come here!
wavs/audio_0027.wav|Can't touch me!
wavs/audio_0028.wav|Let's see you get outtathis!
wavs/audio_0029.wav|That all you got?!
wavs/audio_0030.wav|Yeesh, Aatrox, I thought war gavemeissues!
wavs/audio_0031.wav|Facing the Ascended again! This oughta be good.
wavs/audio_0032.wav|You are everything I standagainst, Void Empress! You'll go no further.
wavs/audio_0033.wav|Your terror bears no teeth againstme, Cho'Gath.
wavs/audio_0034.wav|Darkin—twisted by Shurima, fallen to the Void, bound to your weapon. I get it.
wavs/audio_0035.wav|Fiora! Ready for a rematch?
wavs/audio_0036.wav|ICATHIA!!There, a battle cry before your beatdown, Garen.
wavs/audio_0037.wav|Heh-hey! Gragas! Whaddya say you and I grab a drink after this?
wavs/audio_0038.wav|You testing me, Illaoi? I'm in.
wavs/audio_0039.wav|Pride's powerful once it'searned, K'Sante. Let me demonstrate!
wavs/audio_0040.wav|Aww, if it isn't the whipper-snapper in a Void wrapper. Care to spar?
wavs/audio_0041.wav|Kassadin. Alone against the Void, it's only a matter o' time before it gets to ya.
wavs/audio_0042.wav|Ughh, Kayle. Being so self-righteous takes all the fun outta fighting!
wavs/audio_0043.wav|'Prophet of the Void'? Bet you didn't seethiscomin'!
wavs/audio_0044.wav|I don'treadhistory, Nasus. I make it.
wavs/audio_0045.wav|I don't hold grudges, Shuriman. But I don't hold back, either.
wavs/audio_0046.wav|Void-born! I'll light the way back to the pit you crawled out of!
wavs/audio_0047.wav|Zilean, a man of Icathia. You save the past, I've got the future.
wavs/audio_0048.wav|You stretch first?  Be embarrassing if you pulled something.
wavs/audio_0049.wav|We duel to the death! ...Or 'til you surrender, I'm not picky.
wavs/audio_0050.wav|Don't care who you are or where you're from! Question is, can you fight?
wavs/audio_0051.wav|Really don't wanna fight you! ...HA!Who am I kidding,line up.
wavs/audio_0052.wav|Hold on—let me grab some more 'wisdom' and 'experience'!
wavs/audio_0053.wav|Make it quick! I'm feeling peckish and got a boiled egg waiting for me.
wavs/audio_0054.wav|Oh, this? Just a fancy-lookin' lamp, don't worry about it.
wavs/audio_0055.wav|Show me something new; I'll even give you the first hit!
wavs/audio_0056.wav|Wily one!
wavs/audio_0057.wav|Eatin' good tonight!
