audio_file|text
wavs/audio_0001.wav|Never look back.
wavs/audio_0002.wav|I'm going to enjoy this.
wavs/audio_0003.wav|Strength through progress.
wavs/audio_0004.wav|Fully charged!
wavs/audio_0005.wav|For Piltover!
wavs/audio_0006.wav|Did I scare you?
wavs/audio_0007.wav|Hah. Gotcha!
wavs/audio_0008.wav|Powering up!
wavs/audio_0009.wav|Never a wrong step.
wavs/audio_0010.wav|Our future will be bright.
wavs/audio_0011.wav|I will light our path.
wavs/audio_0012.wav|Without fear.
wavs/audio_0013.wav|I'm always ready.
wavs/audio_0014.wav|Electrify.
wavs/audio_0015.wav|Accelerate!
wavs/audio_0016.wav|They're history.
wavs/audio_0017.wav|Power slam!
wavs/audio_0018.wav|Feel the thunder!
wavs/audio_0019.wav|So long!
wavs/audio_0020.wav|Transformation complete.
wavs/audio_0021.wav|Transformation complete.
wavs/audio_0022.wav|Cannon engaged.
wavs/audio_0023.wav|Feel free to give up now.
wavs/audio_0024.wav|Heh, this is what the future looks like.
