audio_file|text
wavs/audio_0001.wav|My genius will be understood—eventually.
wavs/audio_0002.wav|Right. On. Cue.
wavs/audio_0003.wav|Wonderful.
wavs/audio_0004.wav|There is no drama in a peaceful death!
wavs/audio_0005.wav|Symmetry is so boring.
wavs/audio_0006.wav|Each bullet will be a dance.
wavs/audio_0007.wav|Places everyone, places!
wavs/audio_0008.wav|Sublime.
wavs/audio_0009.wav|Watch my puppets dance.
wavs/audio_0010.wav|Precious.
wavs/audio_0011.wav|When they find you, they will cry.
wavs/audio_0012.wav|Smiles, everyone, smiles!
wavs/audio_0013.wav|I couldn't miss your performance.
wavs/audio_0014.wav|I've outdone myself this time.
wavs/audio_0015.wav|Center stage!
wavs/audio_0016.wav|Beauty is pain.
wavs/audio_0017.wav|Your life had no value before me.
wavs/audio_0018.wav|You will be poetry.
wavs/audio_0019.wav|You will be beautiful.
wavs/audio_0020.wav|I feel inspired.
wavs/audio_0021.wav|Transcendent.
wavs/audio_0022.wav|Delightful!
wavs/audio_0023.wav|Shall we dance?
wavs/audio_0024.wav|Youwillperform.
wavs/audio_0025.wav|Each bullet is a song.
wavs/audio_0026.wav|How lovely!
wavs/audio_0027.wav|Alright!
wavs/audio_0028.wav|This is my love.
wavs/audio_0029.wav|Places, please!
wavs/audio_0030.wav|The composition needs something.
wavs/audio_0031.wav|Darling.
wavs/audio_0032.wav|I will touch your heart.
wavs/audio_0033.wav|How can we make this fresh?
wavs/audio_0034.wav|I rehearsed this!
wavs/audio_0035.wav|Art is worth the pain.
wavs/audio_0036.wav|I will make you famous.
wavs/audio_0037.wav|Inspired.
wavs/audio_0038.wav|Dance for me.
wavs/audio_0039.wav|This is my calling.
wavs/audio_0040.wav|Divine.
wavs/audio_0041.wav|Fabulous.
wavs/audio_0042.wav|They're gonna live, until they die.
wavs/audio_0043.wav|The show never ends!
wavs/audio_0044.wav|This is your curtain call.
wavs/audio_0045.wav|Two!
wavs/audio_0046.wav|Two.
wavs/audio_0047.wav|Three.
wavs/audio_0048.wav|Three.
wavs/audio_0049.wav|One!
wavs/audio_0050.wav|One.
wavs/audio_0051.wav|These were clearly designed by a caveman.
wavs/audio_0052.wav|Gold is my power colour.
wavs/audio_0053.wav|I prefer my equipment to make a bang.
wavs/audio_0054.wav|Sometimes, silence is loud.
wavs/audio_0055.wav|Start the music. I will make them dance.
wavs/audio_0056.wav|I have a thirst for melodrama.
wavs/audio_0057.wav|Redisa primary color.
wavs/audio_0058.wav|The storm is in their hearts. I calm them.
wavs/audio_0059.wav|Dune
wavs/audio_0060.wav|I do prefer my work to have a brisk tempo.
wavs/audio_0061.wav|I always execute with style.
wavs/audio_0062.wav|We all wear masks. Mine are just better-crafted.
wavs/audio_0063.wav|Art is such a fickle thing.
wavs/audio_0064.wav|Not sure I needed another mask, but oh well.
wavs/audio_0065.wav|Ionian footwear. Sadly, so obvious.
wavs/audio_0066.wav|The essence of a thing is found only in its absence.
wavs/audio_0067.wav|Life has no meaning, but your death shall.
wavs/audio_0068.wav|Face the crowd, and bleed for them.
