audio_file|text
wavs/audio_0001.wav|You wouldn't last a day in the Void.
wavs/audio_0002.wav|Back in your hole!
wavs/audio_0003.wav|You don't belong here.
wavs/audio_0004.wav|A lamp's not gonna do it, Jax.
wavs/audio_0005.wav|You talk too much.
wavs/audio_0006.wav|Settle down, sister.
wavs/audio_0007.wav|You want crazy?
wavs/audio_0008.wav|You seem familiar.
wavs/audio_0009.wav|Have we met?
wavs/audio_0010.wav|Something is off here.
wavs/audio_0011.wav|Don't test me.
wavs/audio_0012.wav|I know your tricks.
wavs/audio_0013.wav|You will leave this place.
wavs/audio_0014.wav|Not onmywatch, glutton.
wavs/audio_0015.wav|Vilecreature…
wavs/audio_0016.wav|What are you…?
wavs/audio_0017.wav|Looking for me?
wavs/audio_0018.wav|Let's set the story straight.
wavs/audio_0019.wav|Step back, 'Red'.
wavs/audio_0020.wav|You're outgunned.
wavs/audio_0021.wav|You call those guns?
wavs/audio_0022.wav|This, is not the Void!
wavs/audio_0023.wav|Come on!
wavs/audio_0024.wav|You will die here, creature!
wavs/audio_0025.wav|Not today.
wavs/audio_0026.wav|This ismyhome, Void-spawn!
wavs/audio_0027.wav|You must be lost, creature.
wavs/audio_0028.wav|I am not afraid anymore.
wavs/audio_0029.wav|This ismyhome, Void-spawn.
wavs/audio_0030.wav|Go back, 'Voidling'!
wavs/audio_0031.wav|Die, trespasser.
wavs/audio_0032.wav|My suit hungers.
wavs/audio_0033.wav|I kill so they don't die!
wavs/audio_0034.wav|Thick skin always wins!
wavs/audio_0035.wav|This is why I survived.
wavs/audio_0036.wav|The hunt is on.
wavs/audio_0037.wav|I wield the abyss!
wavs/audio_0038.wav|This is why I came back!
wavs/audio_0039.wav|You'rethe hunted!
wavs/audio_0040.wav|I won't quit!
wavs/audio_0041.wav|Just the beginning.
wavs/audio_0042.wav|Let's see what you're made of!
wavs/audio_0043.wav|You're nothing!
wavs/audio_0044.wav|Just for you!
wavs/audio_0045.wav|Kai'Sa, remember the name.
wavs/audio_0046.wav|Come on… come on…
wavs/audio_0047.wav|Come on! Let's go.
wavs/audio_0048.wav|Fear me!
wavs/audio_0049.wav|Strike hard!
wavs/audio_0050.wav|One mistake is all it takes.
wavs/audio_0051.wav|I'm back.
wavs/audio_0052.wav|Found your weakness.
wavs/audio_0053.wav|Power, not hate.
wavs/audio_0054.wav|I amnotafraid.
wavs/audio_0055.wav|Fear the Void's sting!
wavs/audio_0056.wav|Myturn!
wavs/audio_0057.wav|You'rethe prey!
wavs/audio_0058.wav|Foolish quarry!
wavs/audio_0059.wav|I'll be your monster!
wavs/audio_0060.wav|Iwon'tback down!
wavs/audio_0061.wav|I'm right here!
wavs/audio_0062.wav|Hit 'n' move!
wavs/audio_0063.wav|Kai'Sa huffs.
wavs/audio_0064.wav|Kai'Sa huffs.
wavs/audio_0065.wav|Kai'Sa huffs.
wavs/audio_0066.wav|Kai'Sa huffs.
wavs/audio_0067.wav|Kai'Sa screams.
wavs/audio_0068.wav|Kai'Sa hyperventilates.
wavs/audio_0069.wav|Kai'Sa hyperventilates.
wavs/audio_0070.wav|Kai'Sa hyperventilates.
wavs/audio_0071.wav|Kai'Sa hyperventilates.
