audio_file|text
wavs/audio_0001.wav|All things have consequence.
wavs/audio_0002.wav|You shall be avenged.
wavs/audio_0003.wav|Your killers will be punished.
wavs/audio_0004.wav|We shall bring your killers to their knees.
wavs/audio_0005.wav|You share in our success.
wavs/audio_0006.wav|You strengthen us.
wavs/audio_0007.wav|We will remember your loyalty.
wavs/audio_0008.wav|Our will is one.
wavs/audio_0009.wav|Yes! Punish the betrayers!
wavs/audio_0010.wav|Our instincts align.
wavs/audio_0011.wav|The Baron must die.
wavs/audio_0012.wav|Abomination!
wavs/audio_0013.wav|You shall aid our cause, dragon.
wavs/audio_0014.wav|Bring the dragon down.
wavs/audio_0015.wav|So your treachery ends.
wavs/audio_0016.wav|We have no mercy.
wavs/audio_0017.wav|You are condemned.
wavs/audio_0018.wav|We will claim you.
wavs/audio_0019.wav|Our spear shall find you.
wavs/audio_0020.wav|We see their guilt.
wavs/audio_0021.wav|Retribution approaches.
wavs/audio_0022.wav|Accept no contrition.
wavs/audio_0023.wav|Pluck them from their reverie.
wavs/audio_0024.wav|Your death has been ordained.
wavs/audio_0025.wav|You will never suffer enough!
wavs/audio_0026.wav|We shall pierce their treasonous hearts.
wavs/audio_0027.wav|Know your folly.
wavs/audio_0028.wav|You have earned your fate.
wavs/audio_0029.wav|Bleed, betrayer!
wavs/audio_0030.wav|Be judged.
wavs/audio_0031.wav|They disgust us.
wavs/audio_0032.wav|None can evade us.
wavs/audio_0033.wav|It is time.
wavs/audio_0034.wav|Traitors!
wavs/audio_0035.wav|The oath has been taken.
wavs/audio_0036.wav|Vengeance is at hand.
wavs/audio_0037.wav|The pact is made.
wavs/audio_0038.wav|Our retribution shall be swift.
wavs/audio_0039.wav|Our fates are intertwined.
wavs/audio_0040.wav|Blood seals our pact.
wavs/audio_0041.wav|We are one now.
wavs/audio_0042.wav|We have heard your plea.
wavs/audio_0043.wav|Do not forsake us, ashedid.
wavs/audio_0044.wav|We will not be impeded.
wavs/audio_0045.wav|We will not be at the mercy of those who hide behind magic.
wavs/audio_0046.wav|Foul sorcery shall not deter us.
wavs/audio_0047.wav|In the end, it was nothis bladethat stole our lives.
wavs/audio_0048.wav|As once it symbolized hope, so now shall it incite despair!
wavs/audio_0049.wav|Once,hewas a noble king, until grief overcame his reason.
wavs/audio_0050.wav|As they weaken, so shall we grow stronger.
wavs/audio_0051.wav|Our need goes deeper than blood.
wavs/audio_0052.wav|Feed our cause.
wavs/audio_0053.wav|So shall others feel the bite of steel.
wavs/audio_0054.wav|Its edge is keen as the spear's tip.
wavs/audio_0055.wav|This sharpens our focus.
wavs/audio_0056.wav|Nothing can protect them from our retribution.
wavs/audio_0057.wav|We will pierce their souls.
wavs/audio_0058.wav|Our spears heed no armor.
