audio_file|text
wavs/audio_0001.wav|We must all make our choices.
wavs/audio_0002.wav|Never become a monster to defeat one.
wavs/audio_0003.wav|There is wisdom in war.
wavs/audio_0004.wav|None will question our resolve.
wavs/audio_0005.wav|Ionia speaks through me.
wavs/audio_0006.wav|To conquer one's self is to conquer all.
wavs/audio_0007.wav|Act with conviction.
wavs/audio_0008.wav|Peace, no matter the cost.
wavs/audio_0009.wav|Now we prove our courage.
wavs/audio_0010.wav|Indecision is failure.
wavs/audio_0011.wav|Focus!
wavs/audio_0012.wav|Never falter.
wavs/audio_0013.wav|Peace!
wavs/audio_0014.wav|We have learned as much as we have suffered.
wavs/audio_0015.wav|Never fear change.
wavs/audio_0016.wav|My spirit is an unquenchable fire.
wavs/audio_0017.wav|Heart and mind as one.
wavs/audio_0018.wav|Challenge what you know.
wavs/audio_0019.wav|AsIoniachanges, so must I.
wavs/audio_0020.wav|We must all make our choices.
wavs/audio_0021.wav|The answer lies within.
wavs/audio_0022.wav|Gaen Na Kyri Vi. Reap the winds of...
wavs/audio_0023.wav|Sae Eleisa Tera Vi. Discover the meaning of...
wavs/audio_0024.wav|Lath Rian Oune Vi. Weave the threads of...
wavs/audio_0025.wav|Gaen Na Kyri Vi. Reap the winds of...
wavs/audio_0026.wav|Sae Eleisa Tera Vi. Discover the meaning of...
wavs/audio_0027.wav|Lath Rian Oune Vi. Weave the threads of...
wavs/audio_0028.wav|An ideal is nothing... until you fight for it.
wavs/audio_0029.wav|I know your spirit... but I must stop your heart.
wavs/audio_0030.wav|Always trust your spirit.
