audio_file|text
wavs/audio_0001.wav|Ah, the kiss of death.
wavs/audio_0002.wav|It is written.
wavs/audio_0003.wav|Ah, the kiss of death.
wavs/audio_0004.wav|Sleep without dreams.
wavs/audio_0005.wav|I crave the parting.
wavs/audio_0006.wav|Revel in the undoing.
wavs/audio_0007.wav|Release your mortal coil.
wavs/audio_0008.wav|Sleep now, child.
wavs/audio_0009.wav|Darkness envelops you.
wavs/audio_0010.wav|Hear my song.
wavs/audio_0011.wav|The rhythm of your life slows.
wavs/audio_0012.wav|Join the chorus of death.
wavs/audio_0013.wav|Your time has come.
wavs/audio_0014.wav|I sing the word of death.
wavs/audio_0015.wav|Die by my hand, and rise anew.
wavs/audio_0016.wav|Rest in peace.
wavs/audio_0017.wav|Expire.
wavs/audio_0018.wav|Angels too, are the messengers of death.
wavs/audio_0019.wav|Host of angels, or murder of crows?
wavs/audio_0020.wav|A companion for all time.
wavs/audio_0021.wav|Its power grows with time... as does mine.
wavs/audio_0022.wav|Ah, the song grows.
wavs/audio_0023.wav|I hear the echo of Rabadon; it is exquisite.
wavs/audio_0024.wav|A crown for the king of death.
wavs/audio_0025.wav|Its old master served my patron well.
wavs/audio_0026.wav|None can outrun death.
wavs/audio_0027.wav|This crystal will sing with me.
wavs/audio_0028.wav|When death's grip finds you, it clings tightly.
wavs/audio_0029.wav|A tear of loss, a tear of joy.
wavs/audio_0030.wav|What can protect you from the inevitable?
wavs/audio_0031.wav|No one can hide from the end.
wavs/audio_0032.wav|The grave has all the time in the world.
wavs/audio_0033.wav|Freeze that moment, on the threshold of oblivion.
wavs/audio_0034.wav|The sands slip away like lives.
wavs/audio_0035.wav|Waaao!
wavs/audio_0036.wav|Behold your undoing!
wavs/audio_0037.wav|The shell means nothing!
wavs/audio_0038.wav|Sing, my children.
wavs/audio_0039.wav|Behold my chorus.
wavs/audio_0040.wav|Countless voices in unison!
wavs/audio_0041.wav|Rise and sing!
wavs/audio_0042.wav|Feel the spirits.
wavs/audio_0043.wav|You will not die alone.
wavs/audio_0044.wav|You deceive your followers. I will enlighten them.
wavs/audio_0045.wav|Death's horse needs no bridle.
wavs/audio_0046.wav|You are but the herald, Hecarim. Remember who you truly serve.
wavs/audio_0047.wav|Your light is but a candle in the infinite dark.
wavs/audio_0048.wav|Abandon your mortality, and find your precious Senna.
wavs/audio_0049.wav|You can always join her, Lucian. It will be bliss!
wavs/audio_0050.wav|Lucian! Join her!
wavs/audio_0051.wav|A shell of flesh or a shell of metal? Both ring hollow.
wavs/audio_0052.wav|You give the dead purpose, Mordekaiser. I give them meaning.
wavs/audio_0053.wav|Sion, we must free your soul from the prison of flesh.
