audio_file|text
wavs/audio_0001.wav|As you wish.
wavs/audio_0002.wav|Silence!
wavs/audio_0003.wav|Balance above all else.
wavs/audio_0004.wav|As you wish.
wavs/audio_0005.wav|Your magic is powerless against me!
wavs/audio_0006.wav|Justice will be served.
wavs/audio_0007.wav|You are null and void.
wavs/audio_0008.wav|I tried to silence my mother once. Boy, did I regret that.
wavs/audio_0009.wav|You are null and void.
wavs/audio_0010.wav|As you wish.
wavs/audio_0011.wav|Justice will be served.
wavs/audio_0012.wav|I'm on my way.
wavs/audio_0013.wav|Balance above all else.
wavs/audio_0014.wav|Try that again!
wavs/audio_0015.wav|The balance of power must be preserved.
