audio_file|text
wavs/audio_0001.wav|Is that fear I smell?
wavs/audio_0002.wav|Let's dance!
wavs/audio_0003.wav|Blood for Noxus!
wavs/audio_0004.wav|My pleasure.
wavs/audio_0005.wav|Without mercy.
wavs/audio_0006.wav|Let the bloodshed begin!
wavs/audio_0007.wav|Is that fear I smell?
wavs/audio_0008.wav|I can't wait.
wavs/audio_0009.wav|If you run, you won't see me stab you!
wavs/audio_0010.wav|Ready for trouble?
wavs/audio_0011.wav|No going back.
wavs/audio_0012.wav|Intriguing.
wavs/audio_0013.wav|Only fools hesitate.
wavs/audio_0014.wav|To the point.
wavs/audio_0015.wav|Keep friends close and enemies guessing.
wavs/audio_0016.wav|I've made my choice.
wavs/audio_0017.wav|Never play fair.
wavs/audio_0018.wav|I like it.
wavs/audio_0019.wav|Next time... run.
wavs/audio_0020.wav|The dance of blades.
wavs/audio_0021.wav|Unmatched.
wavs/audio_0022.wav|Too easy.
wavs/audio_0023.wav|Come on, live a little... while you can!
wavs/audio_0024.wav|Better dead than dull.
wavs/audio_0025.wav|Violence solves everything.
