audio_file|text
wavs/audio_0001.wav|The weak fear the shadows.
wavs/audio_0002.wav|These things always prove to be a challenge.
wavs/audio_0003.wav|How tedious.
wavs/audio_0004.wav|Ughh... This may take a while.
wavs/audio_0005.wav|I will enjoy this, Darius.
wavs/audio_0006.wav|Revenge...
wavs/audio_0007.wav|Death is inevitable.
wavs/audio_0008.wav|Pain fades...
wavs/audio_0009.wav|Run, from the shadows.
wavs/audio_0010.wav|You dance on the shadow's edge.
wavs/audio_0011.wav|I am everywhere.
wavs/audio_0012.wav|Your mistake!
wavs/audio_0013.wav|Silence, then pain.
wavs/audio_0014.wav|No way out.
wavs/audio_0015.wav|Fleeing won't save you!
wavs/audio_0016.wav|Feel this!
wavs/audio_0017.wav|This will be quick!
wavs/audio_0018.wav|The light will not save you.
wavs/audio_0019.wav|I'm coming for you!
wavs/audio_0020.wav|Shadow is not your friend.
wavs/audio_0021.wav|I'm here!
wavs/audio_0022.wav|Shadows touch all!
wavs/audio_0023.wav|I buy, they die. Simple.
wavs/audio_0024.wav|Oh yes, this is the right choice.
wavs/audio_0025.wav|Are you afraid now? You should be.
wavs/audio_0026.wav|Sight, a pitiful crutch for the weak.
wavs/audio_0027.wav|Oh, please.
wavs/audio_0028.wav|Prying eye shall perish, too.
wavs/audio_0029.wav|No escape...
wavs/audio_0030.wav|Hush...
wavs/audio_0031.wav|I am everywhere...
wavs/audio_0032.wav|Surprise!
wavs/audio_0033.wav|Goodbye!
wavs/audio_0034.wav|So easy.
wavs/audio_0035.wav|That never gets old.
wavs/audio_0036.wav|I'll let you in on a secret, you will not live much longer.
wavs/audio_0037.wav|The light's your best chance, but you're still going to die.
wavs/audio_0038.wav|There are twelve ways to kill you. Sorry, thirteen. It's still thirteen.
wavs/audio_0039.wav|You and Rhaast, the failed blades.
wavs/audio_0040.wav|The more they send, the more they will bury.
wavs/audio_0041.wav|Your stance was weak, your tactics elementary and your execution sluggish.
wavs/audio_0042.wav|Shadows and the blade proved too much.
wavs/audio_0043.wav|The fallen only make me stronger.
wavs/audio_0044.wav|Strength alone is not enough.
wavs/audio_0045.wav|And that is why I am the one.
wavs/audio_0046.wav|They too will call me master.
wavs/audio_0047.wav|Four. Who's next?
wavs/audio_0048.wav|That may do, for some.
wavs/audio_0049.wav|Perfection is near...
wavs/audio_0050.wav|Zed says hello... and goodbye.
wavs/audio_0051.wav|It did not have to end this way, Zed.
wavs/audio_0052.wav|They should stay down.
wavs/audio_0053.wav|Wrong place, wrong time.
wavs/audio_0054.wav|You will not be remembered.
wavs/audio_0055.wav|Balance? Balance favors the victorious.
wavs/audio_0056.wav|So brave, so foolish, so dead.
wavs/audio_0057.wav|Be thankful it's over.
wavs/audio_0058.wav|Fools die and are forgotten.
wavs/audio_0059.wav|Death finds all, and so quickly.
wavs/audio_0060.wav|Retreat was a better option.
wavs/audio_0061.wav|You were not chosen... to live.
wavs/audio_0062.wav|There was a time to run, but you missed it.
wavs/audio_0063.wav|True believers live forever, they will die forgotten.
wavs/audio_0064.wav|The darkin is gone. Our enemies are next.
wavs/audio_0065.wav|Kill the body. Build the body. Free the body.
wavs/audio_0066.wav|I wield the whisper of darkness.
wavs/audio_0067.wav|Every corpse a lesson, every threat a target.
wavs/audio_0068.wav|The blade of millenia exercises my will.
wavs/audio_0069.wav|This is as it was meant to be.
wavs/audio_0070.wav|I bested the darkin, now the plan continues.
wavs/audio_0071.wav|I was forged by the uncaring providence of war.
wavs/audio_0072.wav|Zed now walks in my shadow.
wavs/audio_0073.wav|The reaping begins with purpose.
wavs/audio_0074.wav|Light offers no sanctuary.
wavs/audio_0075.wav|Bathing my enemies in shadow, I leave the light to the opressed.
wavs/audio_0076.wav|With this blade, I am invincible!
wavs/audio_0077.wav|Kill the mind. Build the mind. Free the mind.
wavs/audio_0078.wav|My path cuts through the bodies of the unwilling.
wavs/audio_0079.wav|My greatness has been realized.
wavs/audio_0080.wav|Enough for now. I will return stronger.
wavs/audio_0081.wav|Not every battle is a fight.
wavs/audio_0082.wav|That only served to sharpen my focus, and my blade.
wavs/audio_0083.wav|That was not the plan.
wavs/audio_0084.wav|A lucky stab in the dark.
wavs/audio_0085.wav|They will never see us coming.
wavs/audio_0086.wav|Together, Zed, we are unstoppable!
wavs/audio_0087.wav|Your stance is that of a two-legged goat.
wavs/audio_0088.wav|This is the part where you run.
wavs/audio_0089.wav|I live in shadow. Others need light.
wavs/audio_0090.wav|My enemies will have no place to hide.
wavs/audio_0091.wav|This trinket may prove useful here.
wavs/audio_0092.wav|He's with you, I assume?
wavs/audio_0093.wav|Such a waste of time.
wavs/audio_0094.wav|Sure. Why not?
wavs/audio_0095.wav|This will only dull the blade.
wavs/audio_0096.wav|Well... we're here.
wavs/audio_0097.wav|The bigger they are...
wavs/audio_0098.wav|This brings me no pleasure, Shen.
wavs/audio_0099.wav|Teacher and student, yes?
wavs/audio_0100.wav|This is your master? Zed?
wavs/audio_0101.wav|Set me free!
wavs/audio_0102.wav|Found you!
wavs/audio_0103.wav|From the shadow comes the slaughter.
wavs/audio_0104.wav|Again!
wavs/audio_0105.wav|Feed me more lives!
wavs/audio_0106.wav|Kill them all!
wavs/audio_0107.wav|Shadows cut deep as fear!
wavs/audio_0108.wav|They're next.
wavs/audio_0109.wav|Another target!
wavs/audio_0110.wav|Time to reap.
wavs/audio_0111.wav|Again!
wavs/audio_0112.wav|You have my undivided attention!
wavs/audio_0113.wav|Never underestimate hatred.
wavs/audio_0114.wav|Fear the darkened blade!
wavs/audio_0115.wav|Found you!
wavs/audio_0116.wav|Again!
wavs/audio_0117.wav|The blade bends to you!
wavs/audio_0118.wav|Cowering in the light... how foolish!
wavs/audio_0119.wav|The shadows find everyone.
wavs/audio_0120.wav|Every slaughter has humble beginnings.
wavs/audio_0121.wav|They are worthy?
wavs/audio_0122.wav|Drive me into their flesh!
wavs/audio_0123.wav|Good choice. Pairs nicely with wrath and fury.
wavs/audio_0124.wav|Well, you know what you want...
wavs/audio_0125.wav|Aren't I enough?
wavs/audio_0126.wav|You're making me jealous.
wavs/audio_0127.wav|This will very much upset the balance.
wavs/audio_0128.wav|Not my first choice, but okay.
wavs/audio_0129.wav|A match made in shadow.
wavs/audio_0130.wav|These trinkets only annoy me.
wavs/audio_0131.wav|Sight... A pitiful crutch for the weak.
wavs/audio_0132.wav|Darkness falls.
wavs/audio_0133.wav|Yes...!
wavs/audio_0134.wav|Yes...
wavs/audio_0135.wav|No escape...
wavs/audio_0136.wav|Fear this!
wavs/audio_0137.wav|Here we go!
wavs/audio_0138.wav|Ripped out!
wavs/audio_0139.wav|Too late.
wavs/audio_0140.wav|That's one to remember!
wavs/audio_0141.wav|Hush...
wavs/audio_0142.wav|This is power!
wavs/audio_0143.wav|You let me in... So foolish!
wavs/audio_0144.wav|I find your will to live amusing...
wavs/audio_0145.wav|I'm holding a sentient weapon of doom, denied blood for eons! You think I'm scared of you?
wavs/audio_0146.wav|"""I can see twelve ways to kill you. Ah! Correction: thirteen. It's thirteen."
wavs/audio_0147.wav|A craftsman never blames his tools.
wavs/audio_0148.wav|I smell death... Nope, it's you. You smell... bad.
wavs/audio_0149.wav|Your skills have not improved, Aatrox.
wavs/audio_0150.wav|Sorry, brother. You were in my way.
wavs/audio_0151.wav|Merely the first to die. There will be more.
wavs/audio_0152.wav|That was for Zed.
wavs/audio_0153.wav|You never forget your first kill... Nope, that's not right. I've already forgotten it.
wavs/audio_0154.wav|Ooohhh! That felt good.
wavs/audio_0155.wav|Noxian strength is a lie.
wavs/audio_0156.wav|No mercy! Right, Noxian?
wavs/audio_0157.wav|You wanted mercy? Not from me!
wavs/audio_0158.wav|Where are the worthy?
wavs/audio_0159.wav|Stand back! Kayn doesn't know how deadly this thing gets!
wavs/audio_0160.wav|That's four by my count.
wavs/audio_0161.wav|Shen. Consider this a debt paid to a friend.
wavs/audio_0162.wav|Demon-pants had it coming.
wavs/audio_0163.wav|You taught me too well, master.
wavs/audio_0164.wav|Live by the shadow, die by the shadow...
wavs/audio_0165.wav|It should not have come to this, Zed...
wavs/audio_0166.wav|Zed's final lesson? Don't be him.
wavs/audio_0167.wav|Pulp Fiction
wavs/audio_0168.wav|The shadows are my realm... and your grave.
wavs/audio_0169.wav|Fear is your shadow! You are cloaked in it.
wavs/audio_0170.wav|Those seeking balance will find death.
wavs/audio_0171.wav|Triumph is built on a foundation of death.
wavs/audio_0172.wav|That was your destiny... to die.
wavs/audio_0173.wav|Every kill fuels my fury.
wavs/audio_0174.wav|Death delivered with precision is true power.
wavs/audio_0175.wav|What was written in shadow, now in flesh.
wavs/audio_0176.wav|Why murder one, when you can slaughter many?
wavs/audio_0177.wav|Facing me was a mistake.
wavs/audio_0178.wav|Even Zed would be impressed.
wavs/audio_0179.wav|This is but a taste of my wrath.
wavs/audio_0180.wav|Cowards hide, but never escape.
wavs/audio_0181.wav|Death finds fools quickly.
wavs/audio_0182.wav|Just like that, and the world will be yours to destroy.
wavs/audio_0183.wav|Balance is weakness.
wavs/audio_0184.wav|The strong fall so quickly to my blade.
wavs/audio_0185.wav|Shadows are a shallow grave.
wavs/audio_0186.wav|My potential has been realized!
wavs/audio_0187.wav|The only way to kill...
wavs/audio_0188.wav|Those who seek balance find only death.
wavs/audio_0189.wav|The reaping has begun!
wavs/audio_0190.wav|With each kill, the shadows grow deeper.
wavs/audio_0191.wav|Tenacity versus fury... Fury always wins.
wavs/audio_0192.wav|These are the strong? Pathetic.
wavs/audio_0193.wav|Yes! Slaughter.
wavs/audio_0194.wav|Worthless foes mock my presence.
wavs/audio_0195.wav|There is fear in your grip and doubt in your heart.
wavs/audio_0196.wav|Lives will be taken, and the real plan revealed.
wavs/audio_0197.wav|The child is gone. The killer will remain...
wavs/audio_0198.wav|Rage inside me will not be contained!
