audio_file|text
wavs/audio_0001.wav|A silent death!
wavs/audio_0002.wav|For Ionia.
wavs/audio_0003.wav|Haaayaaa!
wavs/audio_0004.wav|Their final moments approach.
wavs/audio_0005.wav|A silent death!
wavs/audio_0006.wav|Yes, they make shurikens this small!
wavs/audio_0007.wav|I am the wind!
wavs/audio_0008.wav|Steady...
wavs/audio_0009.wav|Yes yes yes!
wavs/audio_0010.wav|Let's do it!
wavs/audio_0011.wav|Ready.
wavs/audio_0012.wav|Big targets are the best! There's more to aim at!
wavs/audio_0013.wav|The eyes never lie.
