audio_file|text
wavs/audio_0001.wav|They fear me.
wavs/audio_0002.wav|Isolate and devour.
wavs/audio_0003.wav|One by one.
wavs/audio_0004.wav|Slice them apart.
wavs/audio_0005.wav|Ah... delicious.
wavs/audio_0006.wav|Blood in the air.
wavs/audio_0007.wav|Clever creatures.
wavs/audio_0008.wav|They fear me.
wavs/audio_0009.wav|Devour their bones.
wavs/audio_0010.wav|From the dark.
wavs/audio_0011.wav|Strike from above.
wavs/audio_0012.wav|Die running.
wavs/audio_0013.wav|Kha'Zix growls.
wavs/audio_0014.wav|Kha'Zix growls.
wavs/audio_0015.wav|Kha'Zix growls.
wavs/audio_0016.wav|Kha'Zix growls.
wavs/audio_0017.wav|Kha'Zix growls.
wavs/audio_0018.wav|Kha'Zix growls.
wavs/audio_0019.wav|Kha'Zix screams and perishes.
wavs/audio_0020.wav|Kha'Zix screams and perishes.
wavs/audio_0021.wav|Kha'Zix screams and perishes.
wavs/audio_0022.wav|Kha'Zix screams and perishes.
wavs/audio_0023.wav|Kha'Zix shouts in effort.
wavs/audio_0024.wav|Kha'Zix shouts in effort.
wavs/audio_0025.wav|Kha'Zix shouts in effort.
wavs/audio_0026.wav|Kha'Zix shouts in effort.
wavs/audio_0027.wav|I am living change.
wavs/audio_0028.wav|Evolve and overcome.
wavs/audio_0029.wav|They can't keep up.
wavs/audio_0030.wav|They will not expect this!
wavs/audio_0031.wav|Kha'Zix growls.
wavs/audio_0032.wav|Kha'Zix growls.
wavs/audio_0033.wav|Kha'Zix growls.
wavs/audio_0034.wav|Kha'Zix growls.
wavs/audio_0035.wav|My purpose is eating deadly creatures. My hobby is eating Yordles.
wavs/audio_0036.wav|I ate an optimist once, but I couldn't keep him down.
wavs/audio_0037.wav|Kha'Zix laughs.
wavs/audio_0038.wav|Kha'Zix laughs.
wavs/audio_0039.wav|Kha'Zix laughs.
wavs/audio_0040.wav|Kha'Zix laughs.
wavs/audio_0041.wav|Consume and adapt.
wavs/audio_0042.wav|Position for ambush.
wavs/audio_0043.wav|My wings are restless.
wavs/audio_0044.wav|I will soar over them.
wavs/audio_0045.wav|They won't know what ate them.
wavs/audio_0046.wav|In the shadows.
wavs/audio_0047.wav|Limb from limb.
wavs/audio_0048.wav|Ready to reap.
wavs/audio_0049.wav|Death from afar.
wavs/audio_0050.wav|Pierce and skewer.
wavs/audio_0051.wav|A different view.
wavs/audio_0052.wav|I sense worthy prey.
wavs/audio_0053.wav|Endless hunger.
wavs/audio_0054.wav|This world is delicious!
wavs/audio_0055.wav|Sharpening my claws.
wavs/audio_0056.wav|Fear the Void.
wavs/audio_0057.wav|No escape.
wavs/audio_0058.wav|They'll never see me.
wavs/audio_0059.wav|Kha'Zix growls aggressively.
wavs/audio_0060.wav|Kha'Zix growls aggressively.
wavs/audio_0061.wav|Kha'Zix growls aggressively.
wavs/audio_0062.wav|Kha'Zix growls aggressively.
wavs/audio_0063.wav|Do not fear death. The best part of you will live on!
wavs/audio_0064.wav|If I eat you, will I learn how to die?
wavs/audio_0065.wav|Hahaha. You're barely worth eating!
wavs/audio_0066.wav|Kha'Zix growls aggressively.
wavs/audio_0067.wav|Kha'Zix growls aggressively.
wavs/audio_0068.wav|Kha'Zix growls aggressively.
wavs/audio_0069.wav|Kha'Zix growls aggressively.
