audio_file|text
wavs/audio_0001.wav|You overstep.
wavs/audio_0002.wav|Rip them to bits!
wavs/audio_0003.wav|Run, if you can!
wavs/audio_0004.wav|Lamb calls!
wavs/audio_0005.wav|Go easily.
wavs/audio_0006.wav|This one is yours.
wavs/audio_0007.wav|Life is ours...
wavs/audio_0008.wav|Day always turns to...
wavs/audio_0009.wav|A careless step...
wavs/audio_0010.wav|Mine?
wavs/audio_0011.wav|Time to...
wavs/audio_0012.wav|Flee, or stand firm.
wavs/audio_0013.wav|How one dies shows how one lived.
wavs/audio_0014.wav|This will hurt... lots!
wavs/audio_0015.wav|Embracing life means accepting death.
wavs/audio_0016.wav|You shine brightly.
wavs/audio_0017.wav|Depart in peace.
wavs/audio_0018.wav|Hush now. Rest.
wavs/audio_0019.wav|Drift gently into oblivion.
wavs/audio_0020.wav|All sparks kindle new flames.
wavs/audio_0021.wav|Panic not when life ebbs.
wavs/audio_0022.wav|They break too easy!
wavs/audio_0023.wav|No more words!
wavs/audio_0024.wav|Tear out the throat!
wavs/audio_0025.wav|Ready to chase? Too bad!
wavs/audio_0026.wav|They struggle! Good!
wavs/audio_0027.wav|Feet tire fast!
wavs/audio_0028.wav|Will they run?
wavs/audio_0029.wav|Strip away their armor.
wavs/audio_0030.wav|Forged in a land unwelcome to us.
wavs/audio_0031.wav|It courses with stolen lives.
wavs/audio_0032.wav|I thirst more!
wavs/audio_0033.wav|They shall not ignore us so easily.
wavs/audio_0034.wav|For us, or them?
wavs/audio_0035.wav|A sharper blade makes for a cleaner death.
wavs/audio_0036.wav|Sharp enough to slice the veil between life and death.
wavs/audio_0037.wav|They will see two of me!
wavs/audio_0038.wav|Another friend.
wavs/audio_0039.wav|Cut them deeper!
wavs/audio_0040.wav|They shall only hearmyvoice.
wavs/audio_0041.wav|Now!
wavs/audio_0042.wav|Mine!
wavs/audio_0043.wav|Now!
wavs/audio_0044.wav|We understand your loneliness, but...
wavs/audio_0045.wav|Pop the balloon!
wavs/audio_0046.wav|We know your name, child. Woven across countless almost-lives.
wavs/audio_0047.wav|Rushing to meet us again, I see.
