audio_file|text
wavs/audio_0001.wav|Oh, I knew you was all yeller!
wavs/audio_0002.wav|Dang nabbit, you're gonna get us killed!
wavs/audio_0003.wav|Easy, girl, easy!
wavs/audio_0004.wav|Calm down, girl!
wavs/audio_0005.wav|Skaarl, I got this!
wavs/audio_0006.wav|No Skaarl, no! Bad Skaarl!
wavs/audio_0007.wav|Don't get your britches all rumpled!
wavs/audio_0008.wav|Don't get weird on me!
wavs/audio_0009.wav|Quit your worryin'!
wavs/audio_0010.wav|Whoa! Whoa! Don't get excited, now!
wavs/audio_0011.wav|Whoa, Skaarl, whoa!
wavs/audio_0012.wav|Don't you run off on me! Skaarl!
wavs/audio_0013.wav|Calm down, you damn-!
wavs/audio_0014.wav|See, Skaarl? I don't need help!
wavs/audio_0015.wav|I'll kick the crap outta you!
wavs/audio_0016.wav|I'll say something witty after I kill you!
wavs/audio_0017.wav|I'm gonna cut you open and use your spine for a back scratcher, because it is itchy! Very itchy!
wavs/audio_0018.wav|My brain is full of weasels!
wavs/audio_0019.wav|My blood is piss and vinegar!
wavs/audio_0020.wav|Now you done it!
wavs/audio_0021.wav|I'm gonna reach down your throat, and turn your lungs into mittens!
wavs/audio_0022.wav|You's trying my patience!
wavs/audio_0023.wav|I'm through running!
wavs/audio_0024.wav|Oh, you prancing bastard!
wavs/audio_0025.wav|I'm gonna make you wish you were a hallucination!
wavs/audio_0026.wav|I'll kill 'em all!
wavs/audio_0027.wav|Skaarl! You're missing the fun!
wavs/audio_0028.wav|I hate you!
wavs/audio_0029.wav|You're a cockroach, and it's half-past stomping time!
wavs/audio_0030.wav|Intruder!
wavs/audio_0031.wav|My axe talks for me!
wavs/audio_0032.wav|I can only express myself through violence!
wavs/audio_0033.wav|There's fixing to be two sounds: me hitting you, and---
wavs/audio_0034.wav|I ain't stopping!
wavs/audio_0035.wav|I'm just beginning to fight!
wavs/audio_0036.wav|300
wavs/audio_0037.wav|Who sent you?
wavs/audio_0038.wav|Welcome to Noxus!
wavs/audio_0039.wav|You thought I was done? Kled ain't never done!
wavs/audio_0040.wav|You see, Skaarl? I'm doing it alone!
wavs/audio_0041.wav|Come back here and fight!
wavs/audio_0042.wav|No trespassing!
wavs/audio_0043.wav|Seinfeld
wavs/audio_0044.wav|I can't be reasoned with!
wavs/audio_0045.wav|You think I don't hear you laughing?
wavs/audio_0046.wav|I don't like sharing!
wavs/audio_0047.wav|I'll kill you!
wavs/audio_0048.wav|I'll gut you!
wavs/audio_0049.wav|I am the brutal instrument of my own destiny!
wavs/audio_0050.wav|No-one tells me what to do.
wavs/audio_0051.wav|Lord Colonel Major Centurion Kled don't run, no he don't!
wavs/audio_0052.wav|I don't need a team to start a teamfight!
wavs/audio_0053.wav|I don't need that lizard! Kled's got his own ideas.
wavs/audio_0054.wav|Skaarl! Come back, buddy! Skaarl?
wavs/audio_0055.wav|I know that lizard ain't talking, but I still hear him. Shut up, lizard. Shut up!
wavs/audio_0056.wav|Oh, she'll see, she'll see! She'll come strolling back when I turn them interlopers into a purée.
wavs/audio_0057.wav|I said I wasn't not backing off, no how!
wavs/audio_0058.wav|This world is rough. You gotta be tough or die.
wavs/audio_0059.wav|I don't need you Skaarl!
wavs/audio_0060.wav|Yes, a sane man would run, but I ain't the running kind!
wavs/audio_0061.wav|This here land is mine!
wavs/audio_0062.wav|Damnit, Skaarl! I hate walking!
wavs/audio_0063.wav|Stop talking, you stupid brain badgers!
wavs/audio_0064.wav|Why's all these intruders so far away?
wavs/audio_0065.wav|Sure! I'll kill all of them myself!
wavs/audio_0066.wav|Even if I lose, I win! Just means I get to come back and kill you later!
wavs/audio_0067.wav|First thing you learn as a Lieutenant Sergeant Commodore: rely only on yourself.
wavs/audio_0068.wav|Ain't nobody gonna give you nothing. Gotta take it yourself.
wavs/audio_0069.wav|Impossible ain't a Noxian word.
wavs/audio_0070.wav|I didn't become a Rear Forward Brigadier Admiral from running!
wavs/audio_0071.wav|I know you're listening, brain weasels! I ain't falling for it!
wavs/audio_0072.wav|This is just a victory waiting to happen!
wavs/audio_0073.wav|What was that? Run straight into the tower?
wavs/audio_0074.wav|I am Sir Admiral Major Kled, and I smell a victory potpourri!
wavs/audio_0075.wav|Hey, what was that? Of course I don't need Skaarl… but he helps.
wavs/audio_0076.wav|This desert sky's gonna open up with a rain of heavenly bloodshed and glorious violence!
wavs/audio_0077.wav|Folks say I got violent tendencies.
wavs/audio_0078.wav|I didn't not earn the rank of Sergeant double Admiral by not running!
wavs/audio_0079.wav|Ain't nobody tough as Kled! I've got gravel in my guts and a fire in my head!
wavs/audio_0080.wav|I came here to… well, I don't know what I came here for, but I'm gonna defend it!
wavs/audio_0081.wav|Skaarl! Skaarl!
wavs/audio_0082.wav|Yip yip!
wavs/audio_0083.wav|Hee hee!
wavs/audio_0084.wav|Get 'em!
wavs/audio_0085.wav|Whoa!
wavs/audio_0086.wav|Wahah!
wavs/audio_0087.wav|Wowee!
wavs/audio_0088.wav|Woo!
wavs/audio_0089.wav|Yeehaw!
wavs/audio_0090.wav|Yah!
wavs/audio_0091.wav|Woo!
wavs/audio_0092.wav|Get 'em, Skaarl!
wavs/audio_0093.wav|Ha-ha!
wavs/audio_0094.wav|Hyaah!
wavs/audio_0095.wav|Ha!
wavs/audio_0096.wav|Drinking from battle? What kind of dumb crap is that?
wavs/audio_0097.wav|Telling people you're a god? Hell, you're barely a paring knife.
wavs/audio_0098.wav|Something caught in your throat? 'cause you sound desperate!
wavs/audio_0099.wav|You know, I like you, brother. As much as I can like a lily-livered jungle-sniffer.
wavs/audio_0100.wav|Watch your stepping! That's my land you're gallivanting on!
