audio_file|text
wavs/audio_0001.wav|I have more important matters to attend to.
wavs/audio_0002.wav|Know your place,demon.
wavs/audio_0003.wav|You are nothing.
wavs/audio_0004.wav|Soobvious.
wavs/audio_0005.wav|Absolutely not.
wavs/audio_0006.wav|Begone!
wavs/audio_0007.wav|A pedestrian ploy.
wavs/audio_0008.wav|This again.
wavs/audio_0009.wav|Obey!
wavs/audio_0010.wav|Get back.
wavs/audio_0011.wav|I don't have time for this.
wavs/audio_0012.wav|Wasted effort.
wavs/audio_0013.wav|WE'LL MEET… AGAIN…
wavs/audio_0014.wav|YOU HAVE… DOOMED US ALL…
wavs/audio_0015.wav|JUST… AS PLANNED…!
wavs/audio_0016.wav|Bound to my service.
wavs/audio_0017.wav|Sons, daughters, legacies. I'll take whatever you have, Ambessa!
wavs/audio_0018.wav|Remember who it is you serve.
wavs/audio_0019.wav|Youwere the ones who brought the world to its knees? That seems unlikely.
wavs/audio_0020.wav|I have been warned against your kind, fallen one.
wavs/audio_0021.wav|I have bound and banished more of your kind than I care to remember.
wavs/audio_0022.wav|Who is caught in whose web, I wonder…?
wavs/audio_0023.wav|This betrayal is disappointing, sister—but not unexpected.
wavs/audio_0024.wav|Tell me, Jarvan: what do you remember of your mother?
wavs/audio_0025.wav|Ahh, the young prince! You have your father's eyes…
wavs/audio_0026.wav|Katarina, still looking for father figures to disappoint?
wavs/audio_0027.wav|I'll tear your family's name from the histories, Medarda!
wavs/audio_0028.wav|I ended you once, you bastard! I will do it again!
wavs/audio_0029.wav|You have something that belongs to me, rune mage.
wavs/audio_0030.wav|Such ambition, Jericho. Such… arrogance. I can work with that.
wavs/audio_0031.wav|Usurper…! You have ruinedten centuries of work!
wavs/audio_0032.wav|TheDu Couteauname is worthless, boy, aim higher.
wavs/audio_0033.wav|A tasteless homage to an unworthy role model, Veigar.
wavs/audio_0034.wav|Must we do this again, Vladimir…
wavs/audio_0035.wav|Hemomancer—please.
wavs/audio_0036.wav|I could obliterate you where you stand. Convince me why I should not.
wavs/audio_0037.wav|Congratulations, you found me. Or have you?
wavs/audio_0038.wav|Consider your next moveverycarefully.
wavs/audio_0039.wav|I reallydolook tired.
wavs/audio_0040.wav|Dealing with you is… exhausting!
wavs/audio_0041.wav|Pitifulcreature.
wavs/audio_0042.wav|Almost too easy. Perhaps you're not the weapon I seek after all.
wavs/audio_0043.wav|And where is your god now, hm?
wavs/audio_0044.wav|If not me, then who?
wavs/audio_0045.wav|There is nothing more catastrophic to a kingdom, than an empty throne.
wavs/audio_0046.wav|So predictable—just like your mother.
wavs/audio_0047.wav|Clearly, you did not learn from your mother's failings.
wavs/audio_0048.wav|HOW MANY TIMES MUST I DESTROY YOU, REVENANT?
wavs/audio_0049.wav|If I must become the whole world's villain, thenSO BE IT!
wavs/audio_0050.wav|Tyruswas right about you.
wavs/audio_0051.wav|You showed such promise, Jericho Swain; what a waste.
wavs/audio_0052.wav|Well… your sisters will be upset by that, no doubt.
wavs/audio_0053.wav|Mortal vanity, undone by magic.
wavs/audio_0054.wav|Bear witness to thefallof empires.
wavs/audio_0055.wav|I will not be held back by these meager defenses.
wavs/audio_0056.wav|Sleep now, little one, I will not give up on you.
wavs/audio_0057.wav|'Immortal'… and already outliving your usefulness.
wavs/audio_0058.wav|Pathetic.
wavs/audio_0059.wav|You had every chance to turn back.
wavs/audio_0060.wav|May this be a warning to others!
wavs/audio_0061.wav|I presume that was not the outcome you sought.
