audio_file|text
wavs/audio_0001.wav|I return to my training.
wavs/audio_0002.wav|Speed becomes force.
wavs/audio_0003.wav|You hesitate.
wavs/audio_0004.wav|Come, test your convictions.
wavs/audio_0005.wav|Your skill against mine.
wavs/audio_0006.wav|Strike firmly!
wavs/audio_0007.wav|I'll see this through.
wavs/audio_0008.wav|Their heartbeats quicken.
wavs/audio_0009.wav|Your weakness is revealed!
wavs/audio_0010.wav|You dare doubt my resolve?
wavs/audio_0011.wav|I will crush body and spirit.
wavs/audio_0012.wav|Act free of doubt.
wavs/audio_0013.wav|Your spirit trembles.
wavs/audio_0014.wav|Fear clouds your mind.
wavs/audio_0015.wav|Worry not.
wavs/audio_0016.wav|You upset my balance.
wavs/audio_0017.wav|A flaw in your technique.
wavs/audio_0018.wav|I do not teach, I demonstrate.
wavs/audio_0019.wav|Break beneath my fists!
wavs/audio_0020.wav|A risk I shall take!
wavs/audio_0021.wav|Beware the dragon spirit!
wavs/audio_0022.wav|Hikuh!
wavs/audio_0023.wav|Hikuh!
wavs/audio_0024.wav|Hikuh!
wavs/audio_0025.wav|Hikuh!
wavs/audio_0026.wav|Tong!
wavs/audio_0027.wav|Tong!
wavs/audio_0028.wav|Tong!
wavs/audio_0029.wav|Tong!
wavs/audio_0030.wav|I… was not… worthy…
wavs/audio_0031.wav|Dragon spirit… I've failed you.
wavs/audio_0032.wav|My final lesson…
wavs/audio_0033.wav|You are but a gilded reflection of what dragons truly are.
wavs/audio_0034.wav|Even in the bitter cold, your spirit burns. How admirable.
wavs/audio_0035.wav|Before, we were one spirit. What have we become?
wavs/audio_0036.wav|You won a great victory, Irelia. I look forward to besting you in combat.
wavs/audio_0037.wav|Kayn, you bear powers you cannot hope to master. Stop, before it is too late.
wavs/audio_0038.wav|Draw your blade, Master Yi. I have waited long to face you.
wavs/audio_0039.wav|I am the fire of Shojin. Face me with all your strength.
wavs/audio_0040.wav|Shyvana, your spirit seems divided… and familiar.
wavs/audio_0041.wav|Old friend, I sense the spirits fighting within you still.
wavs/audio_0042.wav|Wukong, someone of your skill ought to listen to his master.
wavs/audio_0043.wav|Xin Zhao, or would you rather fight under yourother name?
