audio_file|text
wavs/audio_0001.wav|I must not fall.
wavs/audio_0002.wav|Feel the sun's glory.
wavs/audio_0003.wav|Theywillbe sundered.
wavs/audio_0004.wav|Twilight fades.
wavs/audio_0005.wav|I will break their line.
wavs/audio_0006.wav|They'll have to get through me.
wavs/audio_0007.wav|Don't stare directly at me for too long.
wavs/audio_0008.wav|I think I broke a nail.  Good thing it wasn't mine.
wavs/audio_0009.wav|Rally to me.
wavs/audio_0010.wav|I must not fall.
wavs/audio_0011.wav|Stay at the vanguard.
wavs/audio_0012.wav|First light approaches.
wavs/audio_0013.wav|The sun always rises.
wavs/audio_0014.wav|I will protect you.
wavs/audio_0015.wav|Next time, try to leave a dent!
wavs/audio_0016.wav|The dawn has arrived.
