audio_file|text
wavs/audio_0001.wav|They're scampering from me?
wavs/audio_0002.wav|Sorry... Sorry!
wavs/audio_0003.wav|Shush. It's the dream's turn to sleep.
wavs/audio_0004.wav|Dreams die when they're held too tight.
wavs/audio_0005.wav|Eeeep! I mean...eep.
wavs/audio_0006.wav|The magic is within you.
wavs/audio_0007.wav|I'm going in! For...some reason.
wavs/audio_0008.wav|Ow! Wait, I hit you?
wavs/audio_0009.wav|Close your eyes so I can say hello.
wavs/audio_0010.wav|I knew you could sparkle!
wavs/audio_0011.wav|I know how to use this.
wavs/audio_0012.wav|It won't stop swinging!
wavs/audio_0013.wav|Your soul is blooming!
wavs/audio_0014.wav|Hang on, dream!
wavs/audio_0015.wav|All you know is nightmare.
wavs/audio_0016.wav|Whoopsie-lily!
wavs/audio_0017.wav|Better a sleepy head than a sleepy heart.
wavs/audio_0018.wav|Some come to the garden lost. Others, to lose themselves. Like you, Ahri.
wavs/audio_0019.wav|Ivern! Am I still your favorite sprout? N-not that I have to be!
wavs/audio_0020.wav|You may have tasted...too much purple.
wavs/audio_0021.wav|Neeko, can you teach me why the humans hide what's inside? Or...should I ask your flower?
wavs/audio_0022.wav|You've spread like a shadow no one sees–because it's within themselves!
wavs/audio_0023.wav|Nightmares are desire turned inside out, and upside down, and... Oh, dizzy!
wavs/audio_0024.wav|Running from problems won't solve them. But it makes me feel safe!
wavs/audio_0025.wav|When he speaks, I hear your whisper, dream!
wavs/audio_0026.wav|Why would you want to remove your mask, Yone? It's great for hidin'.
wavs/audio_0027.wav|When trapped in fear, dreams become nightmares. We're fighting the same thing!
wavs/audio_0028.wav|You bring many dreams, sparkly child, but also... much anguish.
wavs/audio_0029.wav|Well met! ...Is what I would tell them, if I wasn't already running! Eep!
wavs/audio_0030.wav|Do you think we've met before, in a dream we've both forgotten? Wouldn't that be wonderful?!
wavs/audio_0031.wav|Th-they see us, dream! Scamper!
wavs/audio_0032.wav|Would you...maybe, possibly, perhaps...want to dream with me?
wavs/audio_0033.wav|You, over there! Do you hear me? Not you. Your dream!
wavs/audio_0034.wav|Your dream calls to me! I-I hope you don't mind. Oh, you mind, don't you?
wavs/audio_0035.wav|Oh hello, bird! What little whisps have you—A-a-a-achoo! Oopsie.
wavs/audio_0036.wav|You dreamed until you ached. Now do something about it.
wavs/audio_0037.wav|Sleep well. Dream better.
wavs/audio_0038.wav|Dreams live on, even after the dreamer.
wavs/audio_0039.wav|Are you my nightmare, or am I yours?
wavs/audio_0040.wav|D-don't judge a flower by its bud, you!
wavs/audio_0041.wav|Wake up! Wake up.
wavs/audio_0042.wav|Humans cast a spell every night. Every time they fall asleep.
wavs/audio_0043.wav|The garden is filled with burls. The burls, with nightmares... Mother Tree, I'll remind them how to dream.
wavs/audio_0044.wav|You can do this, Lillia. You are a strong, capable dream fawn. A-and you have a big stick. A-and you hit people with it but don't really mean it! Sorry.
