audio_file|text
wavs/audio_0001.wav|Foolish child.
wavs/audio_0002.wav|Succumb. It's inevitable.
wavs/audio_0003.wav|Embrace the cold.
wavs/audio_0004.wav|Your time has passed.
wavs/audio_0005.wav|Your death serves greater purpose.
wavs/audio_0006.wav|I amIceborn.
wavs/audio_0007.wav|Feel the power ofTrue Ice!
wavs/audio_0008.wav|Foolish child.
wavs/audio_0009.wav|You can't stop an avalanche.
wavs/audio_0010.wav|The cold will numb your pain.
wavs/audio_0011.wav|Another frozen corpse.
wavs/audio_0012.wav|Flesh freezes so easily.
wavs/audio_0013.wav|I've killed so many queens I've lost count!
wavs/audio_0014.wav|Youreallypicked the wrong side.
wavs/audio_0015.wav|Kneel before me and I will unleash your power!
wavs/audio_0016.wav|I consider 'frigid'… a compliment.
wavs/audio_0017.wav|I make cold look… hot.
wavs/audio_0018.wav|No one will remember them.
wavs/audio_0019.wav|There will be no thaw.
wavs/audio_0020.wav|I see things clearly.
wavs/audio_0021.wav|They cannot fight the cold.
wavs/audio_0022.wav|I never rest.
wavs/audio_0023.wav|All will kneel… in time.
wavs/audio_0024.wav|This is but a battle. I've already won the war.
wavs/audio_0025.wav|I never rest.
wavs/audio_0026.wav|TheWatcherswill return.
wavs/audio_0027.wav|Battles come and go. I am eternal.
wavs/audio_0028.wav|This world has forgotten true power.
wavs/audio_0029.wav|So many secrets, buried in ice.
wavs/audio_0030.wav|I will restoreFreljord'sgreatness.
wavs/audio_0031.wav|Entomb!
wavs/audio_0032.wav|Freeze!
wavs/audio_0033.wav|Kneel!
wavs/audio_0034.wav|The world began in ice, and it will end in ice.
wavs/audio_0035.wav|Surrender. My triumph is inevitable!
wavs/audio_0036.wav|Close your eyes and let the cold take you.
wavs/audio_0037.wav|I've been killing your kind for centuries!
wavs/audio_0038.wav|At last, our ascension is at hand!
wavs/audio_0039.wav|The Iceborn rule Freljord!
wavs/audio_0040.wav|I will bury the world in ice.
