audio_file|text
wavs/audio_0001.wav|You don't have the heart for this.
wavs/audio_0002.wav|I've faced worse.
wavs/audio_0003.wav|Don't duck on my account.
wavs/audio_0004.wav|Yeah, I got a cure for that.
wavs/audio_0005.wav|Plenty for all.
wavs/audio_0006.wav|Two in the head.
wavs/audio_0007.wav|Time to put you down.
wavs/audio_0008.wav|Here comes target practice.
wavs/audio_0009.wav|I don't do warning shots.
wavs/audio_0010.wav|How you see this goin'?
wavs/audio_0011.wav|Both guns blazin'.
wavs/audio_0012.wav|Have some peace.
wavs/audio_0013.wav|Ready for the beyond?
wavs/audio_0014.wav|Sorry I gotta do this.
wavs/audio_0015.wav|Got a death wish?
wavs/audio_0016.wav|Demonspawn!
wavs/audio_0017.wav|Always primed.
wavs/audio_0018.wav|Aimin' at you.
wavs/audio_0019.wav|Nothin' left but the end.
wavs/audio_0020.wav|Gonna need more coffins.
wavs/audio_0021.wav|Hope you brought your sidearm.
wavs/audio_0022.wav|Eat light.
wavs/audio_0023.wav|Thisismercy.
wavs/audio_0024.wav|Unclean.
wavs/audio_0025.wav|Nothin's pure anymore.
wavs/audio_0026.wav|Draw.
wavs/audio_0027.wav|Move aside, friend.
wavs/audio_0028.wav|Go on, scare me.
wavs/audio_0029.wav|Try your luck.
wavs/audio_0030.wav|Light 'em up.
wavs/audio_0031.wav|Come get some.
wavs/audio_0032.wav|I failed...
wavs/audio_0033.wav|I'll... wait for her...
wavs/audio_0034.wav|Senna...
wavs/audio_0035.wav|Purity... and... peace...
wavs/audio_0036.wav|Cleanse... me...
wavs/audio_0037.wav|How's Demacia? All safe from the Mist? Yeah. You're welcome.
wavs/audio_0038.wav|Hey, big fella! Try drinkin' fromthesebarrels.
wavs/audio_0039.wav|Need me to wait while you reload that thing?
wavs/audio_0040.wav|Hey, gunslinger. I'll let you know if you hit somethin'.
wavs/audio_0041.wav|You pointin' that peashooter at me? Let's dance.
wavs/audio_0042.wav|A man can gettooclose to his horse, y'know.
wavs/audio_0043.wav|I ain't scared'a you, Hecarim. I just hate to put a good horse down.
wavs/audio_0044.wav|Hey, pony man! You the one that left that pile over there?
wavs/audio_0045.wav|Nothin' I like more than a horse that ain't been broken.
wavs/audio_0046.wav|Fortune. 'Fraid I can't help you outta thisHarrowing.
wavs/audio_0047.wav|Let's crack you open, Mordekaiser, and see what's inside.
wavs/audio_0048.wav|Senna?! Ah, hell. If I'm gonna be shot, I'm glad it's by you.
wavs/audio_0049.wav|There she goes, the love of my life.
wavs/audio_0050.wav|Looks like we got ourselves a lovers' quarrel. Happy shootin', Senna.
wavs/audio_0051.wav|That you, Senna? Uh... is this about me not makin' the bed again?
wavs/audio_0052.wav|Lookin' for Thresh. You a friend of his?
wavs/audio_0053.wav|If you don't have a heartbeat, you'd best not be movin'.
wavs/audio_0054.wav|Whoever made you forgot to turn off the ugly.
wavs/audio_0055.wav|Thresh. You're mine.
