audio_file|text
wavs/audio_0001.wav|You will lose.
wavs/audio_0002.wav|Pain!
wavs/audio_0003.wav|Die!
wavs/audio_0004.wav|Stay down!
wavs/audio_0005.wav|Hurt!
wavs/audio_0006.wav|Smash!
wavs/audio_0007.wav|Kill.
wavs/audio_0008.wav|Uh-huh.
wavs/audio_0009.wav|Okay.
wavs/audio_0010.wav|Sure.
wavs/audio_0011.wav|Going.
wavs/audio_0012.wav|Got it.
wavs/audio_0013.wav|I'm moving as fast as I can.
wavs/audio_0014.wav|Yes.
wavs/audio_0015.wav|You will lose.
wavs/audio_0016.wav|Rock solid.
