audio_file|text
wavs/audio_0001.wav|It is done.
wavs/audio_0002.wav|For the Void.
wavs/audio_0003.wav|Their time is short.
wavs/audio_0004.wav|We demand sacrifice.
wavs/audio_0005.wav|It is done.
wavs/audio_0006.wav|Inevitable.
wavs/audio_0007.wav|Mortality is weakness.
wavs/audio_0008.wav|I think a Voidling just came out!
wavs/audio_0009.wav|At once.
wavs/audio_0010.wav|Without question.
wavs/audio_0011.wav|It is in motion.
wavs/audio_0012.wav|In due course.
wavs/audio_0013.wav|Second sight ordains it.
wavs/audio_0014.wav|Icathia beckons.
wavs/audio_0015.wav|As was foreseen.
wavs/audio_0016.wav|Do not challenge fate's will!
wavs/audio_0017.wav|We are timeless.
wavs/audio_0018.wav|Bow to the Void, or be consumed by it!
wavs/audio_0019.wav|Come mortal, witness your demise!
