audio_file|text
wavs/audio_0001.wav|Your reckoning will come either way.
wavs/audio_0002.wav|In the end, they all scream!
wavs/audio_0003.wav|Protect what is pure.
wavs/audio_0004.wav|I refuse to wilt.
wavs/audio_0005.wav|Life torn from your grasp.
wavs/audio_0006.wav|It is in my nature.
wavs/audio_0007.wav|The blessed waters turn within me.
wavs/audio_0008.wav|I will sow fear.
wavs/audio_0009.wav|There is rot within!
wavs/audio_0010.wav|I'll show you 'twisted'!
wavs/audio_0011.wav|Rooted out.
wavs/audio_0012.wav|The trees have learned violence.
wavs/audio_0013.wav|So much life, stolen!
wavs/audio_0014.wav|Bones break before branches.
wavs/audio_0015.wav|Vengeance may be hollow, but so is my trunk!
wavs/audio_0016.wav|It is good to ungnarl my limbs.
wavs/audio_0017.wav|Your life bloom fades!
wavs/audio_0018.wav|You defile the grove!
wavs/audio_0019.wav|Madness!
wavs/audio_0020.wav|To find life, I will snuff yours out.
wavs/audio_0021.wav|Where men fall, saplings rise!
wavs/audio_0022.wav|This power is mine to command.
wavs/audio_0023.wav|How my branches groan!
wavs/audio_0024.wav|Once this land knew solitude.
wavs/audio_0025.wav|Life feeds on death!
wavs/audio_0026.wav|Torment at your peril.
wavs/audio_0027.wav|I wondered what happened to that tree.
wavs/audio_0028.wav|I do tend to punch things.
wavs/audio_0029.wav|From a land where the trees are hardy and tall... and very, very cold.
wavs/audio_0030.wav|To strike a blow for nature.
wavs/audio_0031.wav|Burn through the Mist.
wavs/audio_0032.wav|Is it woven from branches? I can never tell.
wavs/audio_0033.wav|Restoring life.
wavs/audio_0034.wav|To aid the waters within my wood.
wavs/audio_0035.wav|Flee, my saplings...
wavs/audio_0036.wav|The forest...
wavs/audio_0037.wav|To the soil...
wavs/audio_0038.wav|Away, my sapling.
wavs/audio_0039.wav|Seek the forest's foes.
wavs/audio_0040.wav|Give them room to spread their leaves!
wavs/audio_0041.wav|Patient as a tree.
wavs/audio_0042.wav|One with nature.
wavs/audio_0043.wav|Greenfather, my sapling wishes to meet you.
wavs/audio_0044.wav|The Greenfather spreads life. The Mist will end it.
wavs/audio_0045.wav|Careful, my sapling. Ivern is watching.
wavs/audio_0046.wav|Does this make you uncomfortable, Bramblefoot?
wavs/audio_0047.wav|I'd like you more if youwerea fox.
wavs/audio_0048.wav|You create only destruction, Star Forger.
wavs/audio_0049.wav|An axe is no danger if I cut you down first!
wavs/audio_0050.wav|You make me glad I don't have ears.
wavs/audio_0051.wav|Strength starts in the roots—and you have none.
wavs/audio_0052.wav|Oh, what mortals will do for beauty. Kill, and wear pointy shoes.
wavs/audio_0053.wav|Stop putting web in my branches!
wavs/audio_0054.wav|I hear your skittering, mortal.
wavs/audio_0055.wav|You give sticks a bad name—and fiddles too!
wavs/audio_0056.wav|Stop carving words into my bark! Everyone knowsG <3 K!
wavs/audio_0057.wav|Demacia's walls will not stop the Black Mist.
wavs/audio_0058.wav|One of many shadows on the Isles. The Shadow of War.
wavs/audio_0059.wav|Trample that blade of grass, horseman. I dare you.
wavs/audio_0060.wav|Only men seek redemption.
wavs/audio_0061.wav|Make like a tree and vacate the area.
wavs/audio_0062.wav|Kill them withkindness?
wavs/audio_0063.wav|The sapling of the god Willow.
wavs/audio_0064.wav|A voice follows this one! A song, like those in the Mist!
wavs/audio_0065.wav|It is the Isles that were betrayed!
wavs/audio_0066.wav|Spirit of vengeance? And what of the forest?
wavs/audio_0067.wav|The saplings wish to hear your dirge. Please, sing it... while Idestroyyou!
wavs/audio_0068.wav|The song of life, now silent.
wavs/audio_0069.wav|You make me glad I don't have ears.
wavs/audio_0070.wav|I am no abomination!
wavs/audio_0071.wav|The forest clings to life, and you would end it!
wavs/audio_0072.wav|I am no abomination!
wavs/audio_0073.wav|The forest clings to life, and you would end it!
wavs/audio_0074.wav|Magic came from nature, and will return to nature.
wavs/audio_0075.wav|Another pile of bones wearing a crown.
wavs/audio_0076.wav|Rival tothe Ruined King—in ruin.
wavs/audio_0077.wav|Darkness gathers on the Isles—from every depth.
wavs/audio_0078.wav|Beware the mortals' gifts.
wavs/audio_0079.wav|To bleed the bloodless.
wavs/audio_0080.wav|Come and meet your end—and... a sapling or two.
wavs/audio_0081.wav|Your existence was not meant to be.
wavs/audio_0082.wav|There is still life enough within me to grant you death.
wavs/audio_0083.wav|You make me glad I don't have ears.
wavs/audio_0084.wav|A lantern? Ha! The forest is very dark indeed.
