audio_file|text
wavs/audio_0001.wav|Doubt is the greatest enemy.
wavs/audio_0002.wav|One cut, of many.
wavs/audio_0003.wav|Blade and body.
wavs/audio_0004.wav|This will be... a harsh lesson.
wavs/audio_0005.wav|Never await victory.
wavs/audio_0006.wav|Observe.
wavs/audio_0007.wav|Defend yourself.
wavs/audio_0008.wav|Quit monkeying around!
wavs/audio_0009.wav|Pupil, show me what you have learned.
wavs/audio_0010.wav|Wuju... pass me that potion?
wavs/audio_0011.wav|A true master is an eternal student.
wavs/audio_0012.wav|Doubt is the greatest enemy.
wavs/audio_0013.wav|The focused mind can pierce through stone.
wavs/audio_0014.wav|Anger gives motivation without purpose.
wavs/audio_0015.wav|I will show you the path.
wavs/audio_0016.wav|Form before strength.
wavs/audio_0017.wav|Let us begin.
wavs/audio_0018.wav|Do not let your pride blind you.
wavs/audio_0019.wav|In me,Wujulives on.
wavs/audio_0020.wav|Did you miss it?
wavs/audio_0021.wav|A master stroke!
wavs/audio_0022.wav|Many foes, one strike!
wavs/audio_0023.wav|Watch, and learn.
wavs/audio_0024.wav|So fast.
wavs/audio_0025.wav|Speed of thought!
wavs/audio_0026.wav|Keep up!
wavs/audio_0027.wav|You wish to learn the hard way, I see.
wavs/audio_0028.wav|I will take an eye! ...As if I don't have enough already.
wavs/audio_0029.wav|Your skills are inferior!
wavs/audio_0030.wav|Mind and body.
wavs/audio_0031.wav|Look inward.
wavs/audio_0032.wav|My blade is yours.
