audio_file|text
wavs/audio_0001.wav|Not a problem.
wavs/audio_0002.wav|The fun begins.
wavs/audio_0003.wav|Guns blazin'.
wavs/audio_0004.wav|No prey, no pay.
wavs/audio_0005.wav|Nothing but powder monkeys.
wavs/audio_0006.wav|Bang!
wavs/audio_0007.wav|How do you like my guns... Shock, and Awe!
wavs/audio_0008.wav|Not a problem.
wavs/audio_0009.wav|Set sail!
wavs/audio_0010.wav|Sure you can handle me, summoner?
wavs/audio_0011.wav|Step to.
wavs/audio_0012.wav|I know what I'm doing.
wavs/audio_0013.wav|Ha!
wavs/audio_0014.wav|Ha!
wavs/audio_0015.wav|Ha!
wavs/audio_0016.wav|Ha!
wavs/audio_0017.wav|Fortuna favet fortibus
