audio_file|text
wavs/audio_0001.wav|Your worst decisions will haunt you.
wavs/audio_0002.wav|Justice, how boring!
wavs/audio_0003.wav|Attacking me with my own blade, sister?
wavs/audio_0004.wav|Judge yourself, sister!
wavs/audio_0005.wav|True justice needs compassion!
wavs/audio_0006.wav|Justice, how boring!
wavs/audio_0007.wav|Justice is never blind!
wavs/audio_0008.wav|A sword! Cute.
wavs/audio_0009.wav|Justice, how boring!
wavs/audio_0010.wav|I make my own justice!
wavs/audio_0011.wav|Own your frailty!
wavs/audio_0012.wav|Feel my pain!
wavs/audio_0013.wav|Embrace your pain!
wavs/audio_0014.wav|Endure!
wavs/audio_0015.wav|Embrace your mistakes!
wavs/audio_0016.wav|Do not look away!
wavs/audio_0017.wav|Feel your guilt!
wavs/audio_0018.wav|Darkness rises!
wavs/audio_0019.wav|Revel; you are alive!
wavs/audio_0020.wav|Darkness is a gift!
wavs/audio_0021.wav|Do not run from your shadow!
wavs/audio_0022.wav|Endure this!
wavs/audio_0023.wav|Feel!
wavs/audio_0024.wav|Suffer!
wavs/audio_0025.wav|Darkness reveals truth!
wavs/audio_0026.wav|Suffer or feel nothing!
wavs/audio_0027.wav|Into the dark!
wavs/audio_0028.wav|Share in my torment!
wavs/audio_0029.wav|Know me by my pain!
wavs/audio_0030.wav|Suffer as I have!
wavs/audio_0031.wav|I will show you pain!
wavs/audio_0032.wav|Avoid pain, suffer more!
wavs/audio_0033.wav|Feel something, anything!
wavs/audio_0034.wav|Suffer as I have!
wavs/audio_0035.wav|I make my own justice!
wavs/audio_0036.wav|Own your frailty!
wavs/audio_0037.wav|What's new?
wavs/audio_0038.wav|Not even for your twin?
wavs/audio_0039.wav|You never do.
wavs/audio_0040.wav|Sister. Here to break my heart anew?
wavs/audio_0041.wav|Kayle, have you forgotten our father?
wavs/audio_0042.wav|Sister. You broke our family and my heart.
wavs/audio_0043.wav|Mother must be so proud of all your murders, Kayle.
wavs/audio_0044.wav|Ugh, you again.
wavs/audio_0045.wav|What have you done with mother's sword?
wavs/audio_0046.wav|You mask your feelings, Kayle, because you have none.
wavs/audio_0047.wav|Remember strolling together in the woods, when we were girls?
wavs/audio_0048.wav|Funny. I remember it differently...
wavs/audio_0049.wav|I never did.
wavs/audio_0050.wav|At least I haven't smited all my friends.
wavs/audio_0051.wav|I need no blade.
wavs/audio_0052.wav|Why do we have feet if not to tread upon the soil.
wavs/audio_0053.wav|We've never been enemies, sister.
wavs/audio_0054.wav|How tragic yours to believe them.
wavs/audio_0055.wav|Or large... squirrels?
wavs/audio_0056.wav|I am your salvation!
wavs/audio_0057.wav|Preach later!
wavs/audio_0058.wav|Kayle!
wavs/audio_0059.wav|Kayle. Still the same hair after what, a few hundred years?
wavs/audio_0060.wav|You hide behind your laws in arrogance, Kayle.
wavs/audio_0061.wav|It takes a cold heart to abandon your family.
wavs/audio_0062.wav|Do not run from your shadow, Kayle.
wavs/audio_0063.wav|Oh, am I pure now, sister?
wavs/audio_0064.wav|So this... is how it feels...
wavs/audio_0065.wav|Ahh... something new...!
wavs/audio_0066.wav|Shielded from yourself.
wavs/audio_0067.wav|You thought my magic evil.
wavs/audio_0068.wav|Shielded from yourself.
wavs/audio_0069.wav|Shielded from yourself.
wavs/audio_0070.wav|You're welcome.
wavs/audio_0071.wav|Demacian lies are pretty.
wavs/audio_0072.wav|Demacian faith is a hollow shield.
wavs/audio_0073.wav|Those who wear armor fear death, Garen. And that's a lot of armor.
wavs/audio_0074.wav|Those you love can destroy you, Jarvan.
wavs/audio_0075.wav|LeBlanc. Wish my twin would disappear as fast as yours.
wavs/audio_0076.wav|Your secrets are why you suffer, Lux.
wavs/audio_0077.wav|There is darkness in everyone, Lux. Even you.
wavs/audio_0078.wav|A metal heart still breaks.
wavs/audio_0079.wav|Your soul sings for a fallen world, Sona.
wavs/audio_0080.wav|I saw you in your cell, Sylas. Heard your cries. Felt your anguish.
wavs/audio_0081.wav|Did someone send you here as a joke, Yordle? Did Kayle send you?
wavs/audio_0082.wav|Darkness reveals our truth, Zed.
wavs/audio_0083.wav|Let me show you what it is to fall.
wavs/audio_0084.wav|Loves me, loves me not. Loves me, loves me not. Loves me!
wavs/audio_0085.wav|Loves me, loves me not. Loves me, loves me... not. Ughh.
wavs/audio_0086.wav|Time to come down to earth.
wavs/audio_0087.wav|Send my regards to mother.
wavs/audio_0088.wav|Blood for my blood.
wavs/audio_0089.wav|They wanted a villain, I gave them a villain!
wavs/audio_0090.wav|Mortality is truly divine.
wavs/audio_0091.wav|Pain must be felt.
wavs/audio_0092.wav|Take pride in how swiftly we fall.
wavs/audio_0093.wav|Kayle, blinded by the shadows your light casts.
wavs/audio_0094.wav|I will not disappear, as much as Kayle would like me to.
wavs/audio_0095.wav|I am unmade in the image of my twin.
