audio_file|text
wavs/audio_0001.wav|We won't be muzzled.
wavs/audio_0002.wav|You arenotthe apex.
wavs/audio_0003.wav|Limb from limb!
wavs/audio_0004.wav|Mangle it.
wavs/audio_0005.wav|Fight or flight, morsel!
wavs/audio_0006.wav|Does it bleed?
wavs/audio_0007.wav|Just a nip!
wavs/audio_0008.wav|Lesser creature!
wavs/audio_0009.wav|As one!
wavs/audio_0010.wav|Rend its flesh!
wavs/audio_0011.wav|Hackles raised!
wavs/audio_0012.wav|Wedaredyou to run!
wavs/audio_0013.wav|There's our prey!
wavs/audio_0014.wav|It fears us!
wavs/audio_0015.wav|Now, we charge!
wavs/audio_0016.wav|Push them out!
wavs/audio_0017.wav|Run, rabbit.
wavs/audio_0018.wav|Are you hurt, little bird?
wavs/audio_0019.wav|We taste it!
wavs/audio_0020.wav|Teeth in their throats!
wavs/audio_0021.wav|Sweet marrow!
wavs/audio_0022.wav|Tail... between... legs...
wavs/audio_0023.wav|We smell... nothing...
wavs/audio_0024.wav|Our hunger... fades.
wavs/audio_0025.wav|The chase... ends...
wavs/audio_0026.wav|The chase... ends...
wavs/audio_0027.wav|Our hunger... fades.
wavs/audio_0028.wav|We smell... nothing...
wavs/audio_0029.wav|Tail... between... legs...
wavs/audio_0030.wav|Stubborn Aatrox, so driven to die.
wavs/audio_0031.wav|Focus your rage, Aatrox. The pack needs you!
wavs/audio_0032.wav|How fast can you run, cat?
wavs/audio_0033.wav|Rhaast, is that you? Love the new vessel!
wavs/audio_0034.wav|Still struggling with your vessel, Rhaast? How unfortunate.
wavs/audio_0035.wav|Targonians...
wavs/audio_0036.wav|My, my—aren'tyoufull of delicious bones?
wavs/audio_0037.wav|It smells of the desert winds... It is Shuriman.
wavs/audio_0038.wav|You always were the reasonable one, Varus; so back away.
wavs/audio_0039.wav|Do not pity us Varus—we are now greater.
wavs/audio_0040.wav|Wretched yordle. What's the point of chasing something that doesn't try?!
wavs/audio_0041.wav|Still some meat on those metal bones...
wavs/audio_0042.wav|A wolf with no pack? No wonder you howl!
wavs/audio_0043.wav|Yordle!
wavs/audio_0044.wav|We should thank you, Myisha. You showed us the way.
wavs/audio_0045.wav|Find a hole, vermin... and hide yourself away.
wavs/audio_0046.wav|So, the trail of stench ends here. Hello, prey...
wavs/audio_0047.wav|It does not bark. It is not brethren...
wavs/audio_0048.wav|You're a long way from the den, pup...!
wavs/audio_0049.wav|Shake it ragged, snap its neck!
