audio_file|text
wavs/audio_0001.wav|There's always another wave.
wavs/audio_0002.wav|They're puddle monsters at best.
wavs/audio_0003.wav|Wash them away.
wavs/audio_0004.wav|Welcome to the deep end.
wavs/audio_0005.wav|Douse 'em.
wavs/audio_0006.wav|Do not force my hand.
wavs/audio_0007.wav|The ocean will sweep them away.
wavs/audio_0008.wav|The seas are rising.
wavs/audio_0009.wav|Soak it up.
wavs/audio_0010.wav|Bottom feeders.
wavs/audio_0011.wav|This is minnow's play.
wavs/audio_0012.wav|The sea has no pity.
wavs/audio_0013.wav|The sea holds fearsome creatures… and them.
wavs/audio_0014.wav|I moonlight as a shark caller.
wavs/audio_0015.wav|Sometimes you're the catch. Sometimes you're the bait.
wavs/audio_0016.wav|Cool out, squirt.
wavs/audio_0017.wav|Yeah!
wavs/audio_0018.wav|I'll find my path.
wavs/audio_0019.wav|Swim against the current.
wavs/audio_0020.wav|Quit flopping around.
wavs/audio_0021.wav|My people are counting on me.
wavs/audio_0022.wav|My quest beckons.
wavs/audio_0023.wav|Ride upon the waves.
wavs/audio_0024.wav|Feet are strange.
wavs/audio_0025.wav|Sure as the tides.
wavs/audio_0026.wav|I will see my home again.
wavs/audio_0027.wav|I still hear the song of the sea.
wavs/audio_0028.wav|There's always another wave.
wavs/audio_0029.wav|People and their air...
wavs/audio_0030.wav|High tide!
wavs/audio_0031.wav|Ocean, spill forth!
wavs/audio_0032.wav|Afraid to get your feet wet?
wavs/audio_0033.wav|Swim at your own risk.
wavs/audio_0034.wav|I decide what the tide will bring.
