audio_file|text
wavs/audio_0001.wav|Do not try my patience.
wavs/audio_0002.wav|Soon, there will be nothing.
wavs/audio_0003.wav|Your spirit is hollow.
wavs/audio_0004.wav|Return to the dust.
wavs/audio_0005.wav|We approach a time of reckoning.
wavs/audio_0006.wav|Bellicòni, ti piacciono icòni?
wavs/audio_0007.wav|Death is a harsh mistress.
wavs/audio_0008.wav|This too must end.
wavs/audio_0009.wav|Some spirits are fated to burn.
wavs/audio_0010.wav|Journey into the beyond.
wavs/audio_0011.wav|I bring death.
wavs/audio_0012.wav|Life is part of a cycle. Yours is over.
wavs/audio_0013.wav|Eternity is beyond your reach.
wavs/audio_0014.wav|Anthropomancy: divination by entrails.
wavs/audio_0015.wav|Renekton was lost, long ago. You are but his pale shadow.
wavs/audio_0016.wav|Your legacy shall drift away; blown into eternity, like the sands of the desert.
wavs/audio_0017.wav|Rage burned away all that was good in you, my brother.
wavs/audio_0018.wav|No, I will not fetch the ball.
wavs/audio_0019.wav|Who let the dogs out? Woof. Woof. Woof.
wavs/audio_0020.wav|My bite is worse than my bark.
wavs/audio_0021.wav|Burdens sleep best in their tombs.
wavs/audio_0022.wav|For centuries, I have watched.
wavs/audio_0023.wav|Between life and death lies immortality.
wavs/audio_0024.wav|The past is a tapestry of what lies ahead.
wavs/audio_0025.wav|Some things must remain buried.
wavs/audio_0026.wav|I walk through the ages.
wavs/audio_0027.wav|Shurima is not of this time.
wavs/audio_0028.wav|Eons... pass like days.
wavs/audio_0029.wav|Errant words may fell empires.
wavs/audio_0030.wav|Do not try my patience.
wavs/audio_0031.wav|It is never ending.
wavs/audio_0032.wav|No dawn comes without darkness.
wavs/audio_0033.wav|Perhaps Shurima was meant to fall.
wavs/audio_0034.wav|Their death, awaits.
wavs/audio_0035.wav|The sky is naught but dying stars.
wavs/audio_0036.wav|Your legacy shall drift away; blown into eternity, like the sands of the desert.
wavs/audio_0037.wav|There is such potential in one mortal life; you have wasted yours.
wavs/audio_0038.wav|Become dust.
wavs/audio_0039.wav|Perish.
wavs/audio_0040.wav|Wither.
wavs/audio_0041.wav|Waste away.
wavs/audio_0042.wav|The cycle of life and death continues. We will live, they will die.
