audio_file|text
wavs/audio_0001.wav|I will not rest.
wavs/audio_0002.wav|They will pay.
wavs/audio_0003.wav|I will have vengeance.
wavs/audio_0004.wav|Fear the ocean's weight.
wavs/audio_0005.wav|All will drown.
wavs/audio_0006.wav|I will not rest.
wavs/audio_0007.wav|Drag them down.
wavs/audio_0008.wav|Sometimes I think this anchor just weighs me down. ♪ Ba-da-dee, ba-da-do, ba-da-doo... ♪
wavs/audio_0009.wav|The tide ebbs.
wavs/audio_0010.wav|Do you hear them calling?
wavs/audio_0011.wav|Lost and forgotten.
wavs/audio_0012.wav|Find the guilty.
wavs/audio_0013.wav|Peer into the darkness.
wavs/audio_0014.wav|Forward, forward.
wavs/audio_0015.wav|Left to die.
wavs/audio_0016.wav|Echoes from the deep.
wavs/audio_0017.wav|The endless march.
wavs/audio_0018.wav|You are in the deep end now!
wavs/audio_0019.wav|Beware the depths.
