audio_file|text
wavs/audio_0001.wav|They cannot handle Neeko.
wavs/audio_0002.wav|YOU are in TROUBLE!
wavs/audio_0003.wav|No more mister nice Neeko.
wavs/audio_0004.wav|I will blast their sho'ma in the face!
wavs/audio_0005.wav|Your ancestors will feel this.
wavs/audio_0006.wav|You messed with the wrong Neeko!
wavs/audio_0007.wav|Who strong Neeko now?
wavs/audio_0008.wav|Too late to play nice.
wavs/audio_0009.wav|No one underestimate Neeko!
wavs/audio_0010.wav|Bagaduhng!
wavs/audio_0011.wav|Neeko cast magic on you. Shoom! Shoom!
wavs/audio_0012.wav|We are to fight now? Let's go!
wavs/audio_0013.wav|Chitali!
wavs/audio_0014.wav|Neeko teach you a lesson.
wavs/audio_0015.wav|Rey'amash!
wavs/audio_0016.wav|"""Bright means danger!"
wavs/audio_0017.wav|Yachisha!
wavs/audio_0018.wav|Battle time! Whoop whoop!
wavs/audio_0019.wav|Like a wildcat! Rawr!!
wavs/audio_0020.wav|Kehkehta!
wavs/audio_0021.wav|Ice bird woman! Woo! Neeko need coat.
wavs/audio_0022.wav|Fa hasici! It means I like you. In a good way.
wavs/audio_0023.wav|After fight, can Neeko tell you about Oovi-Kat tribe?
wavs/audio_0024.wav|Hello, nature! Nature here looks funny.
wavs/audio_0025.wav|Wow! We do not have that where I come from.
wavs/audio_0026.wav|Nidalee! Weird seeing you here. Neeko misses you.
wavs/audio_0027.wav|No, Rengar! Be nice and sweet like Nidalee!
wavs/audio_0028.wav|Show me more of the world, Taliyah. Take me with you!
wavs/audio_0029.wav|You are Vastaya! Neeko is Oovi-Kat. We are... cousins? Distant cousins!
wavs/audio_0030.wav|May I touch your eyeball? Neeko is gentle.
wavs/audio_0031.wav|Zyra has many thorns. Too hard for Neeko to get past.
wavs/audio_0032.wav|Hello, enemy!
wavs/audio_0033.wav|You are not secretly Neeko, are you?
wavs/audio_0034.wav|Can our spirits be friends still...?
wavs/audio_0035.wav|Told you to not get close. Why did you not listen?
wavs/audio_0036.wav|Neeko will keep your sho'ma alive.
wavs/audio_0037.wav|Dee dee dee... Just minding my own business, not being Neeko.
wavs/audio_0038.wav|I am being me and doing... me things. Not suspicious.
wavs/audio_0039.wav|Be cool. No one suspects you are Neeko.
wavs/audio_0040.wav|I am normal! Everything's normal. Nothing is suspicious.
wavs/audio_0041.wav|It's fun to walk around in different skins. Ahaha!
wavs/audio_0042.wav|I am definitely not Neeko. Nope. Not Neeko.
wavs/audio_0043.wav|If Neeko can be everyone, how can Neeko be sure she's anyone?
