audio_file|text
wavs/audio_0001.wav|Afraid of the dark?
wavs/audio_0002.wav|Their twilight approaches.
wavs/audio_0003.wav|Hyperion Cantos
wavs/audio_0004.wav|Hyperion Cantos
wavs/audio_0005.wav|The light is fading.
wavs/audio_0006.wav|Drip-drop, the sound of blood.
wavs/audio_0007.wav|Help is not coming...
wavs/audio_0008.wav|This place disgusts me.
wavs/audio_0009.wav|People are flames to be blotted out.
wavs/audio_0010.wav|Are you getting tired yet?
wavs/audio_0011.wav|Swim in terror!
wavs/audio_0012.wav|I sense fear.
wavs/audio_0013.wav|Do I scare you, summoner?
wavs/audio_0014.wav|Are you my nightmare, or am I yours?
wavs/audio_0015.wav|Hyperion Cantos
wavs/audio_0016.wav|Darkness...
wavs/audio_0017.wav|Darkness...
wavs/audio_0018.wav|Darkness...
wavs/audio_0019.wav|All alone...
wavs/audio_0020.wav|Bring me more flesh bags to slice up!
wavs/audio_0021.wav|Hyperion Cantos
