audio_file|text
wavs/audio_0001.wav|It's okay, we'll play later.
wavs/audio_0002.wav|I really... don't likemonsters!
wavs/audio_0003.wav|Songs aren't usually this... scary.
wavs/audio_0004.wav|Don't close your eyes, Willump! We gotta face this!
wavs/audio_0005.wav|Brambleback! It was you all along! Well, your evil deeds end here!
wavs/audio_0006.wav|I heard what you did inKumungu, Brambleback!
wavs/audio_0007.wav|Cinders in his heart. A sure sign of evil, Willump.
wavs/audio_0008.wav|Willump can't stop seeing red! What did you do to him, Brambly?
wavs/audio_0009.wav|The princess will never wake up, unless we can find a bramble rose.
wavs/audio_0010.wav|Cloudy with a chance of dragon!
wavs/audio_0011.wav|Why are there never any snow dragons? (Willump noises) Oh yeah, we can make one.
wavs/audio_0012.wav|Lift me higher, Willump, so I can punch it in the nose!
wavs/audio_0013.wav|A real dragon?!
wavs/audio_0014.wav|One ring to rule them all.
wavs/audio_0015.wav|Gah! We've been poisoned, Willump! The only cure is to kick Gromp's butt!
wavs/audio_0016.wav|Think Gromp's actually a princess? (Willump noises) I'm not kissing her!
wavs/audio_0017.wav|Let's Gromp it up!
wavs/audio_0018.wav|The fairy's voice was coming from over here! I bet that Gromp swallowed her!
wavs/audio_0019.wav|Lord Grompulus Kevin Ribbiton of Croaksworth, your unjust reign ends here!
wavs/audio_0020.wav|Infernal? Sounds evil to me!
wavs/audio_0021.wav|You think the Krugs turned all those people into stone? (Willump noises) There's only one way to find out!
wavs/audio_0022.wav|If you see a Krug's shadow, that means there's gonna be an earthquake.
wavs/audio_0023.wav|These Krugs don't look happy to see us... They must be up to something, Willump!
wavs/audio_0024.wav|Sorry, Krugs. Willump says I gotta fight you to learn multiplicationing.
wavs/audio_0025.wav|The frost troll will never leave the village if we don't get rid of the Krugs. He's scared to step on them.
wavs/audio_0026.wav|You're in a mountain of trouble!
wavs/audio_0027.wav|Can't be any worse than a sea serpent!
wavs/audio_0028.wav|That old man in the cave asked us to kill exactly ten raptors. (Willump noises) I don't remember why.
wavs/audio_0029.wav|We gotta stop the raptors before they become evil raptosaurs and try and eat the sun! (Willump noises) What? It could happen.
wavs/audio_0030.wav|What a big beak you have, Mrs. Raptor. You're gonna use it to hurt people, aren't you?
wavs/audio_0031.wav|Are you sure they're really raptors? Or are theyVoidmonsters in disguise? (Willump noises) Pluck their feathers, Willump!
wavs/audio_0032.wav|Don't hold back, Willump! They stole this nest from those wraiths we talked to!
wavs/audio_0033.wav|Stay close, Willump.
wavs/audio_0034.wav|Uh-oh.
wavs/audio_0035.wav|I can do this. Huh!
wavs/audio_0036.wav|Beat up a bunch of tiny goobers, then you can fight the boss!
wavs/audio_0037.wav|A stonesentinel! He must be guarding something... like a secret!
wavs/audio_0038.wav|We will banish you from this valley, rock-skin boulder-man!
wavs/audio_0039.wav|Tell us what happened to the sentries, blue guy! Or someone's gonna get hurt!
wavs/audio_0040.wav|He's sucking up all the blue in the world! We gotta stop him, Willump!
wavs/audio_0041.wav|Don't let them bite you, Willump, then you'll turn into a were-yeti! ...Wait, that would be awesome!
wavs/audio_0042.wav|The boy who cried wolf? That's not me! I never cry.
wavs/audio_0043.wav|Murk wolves, I come to fight you in the name of your archenemies! Murk CATS!
wavs/audio_0044.wav|I'm gonna play a song so loud these wolves will lose their stinky breaths trying to howl over me!
wavs/audio_0045.wav|The wolves are howling so much the moon can't sleep at night. Let's muzzle them, Willump.
wavs/audio_0046.wav|Put some claw into it, Willump!
wavs/audio_0047.wav|Meet my best friend, Willump!
wavs/audio_0048.wav|Willump's not a monster!
wavs/audio_0049.wav|Watch out for his beard! You can get tangled up in it.
wavs/audio_0050.wav|Something tells me they don't want a hug.
wavs/audio_0051.wav|I got your back, Willump! Woah! Almost fell off!
wavs/audio_0052.wav|Fear the wrath of Svellsongur! (Willump noises) It's not a flute!
wavs/audio_0053.wav|Let's kick bad guy butt! *laughs* 'Cause they never wear butt armor!
wavs/audio_0054.wav|We'llalwayswin, 'cause we have something to fight for! (Willump noises) Not princesses! Gross!
wavs/audio_0055.wav|No wonder they're so angry, they forgot to bring snowballs!
wavs/audio_0056.wav|We don't wanna hurt you.
wavs/audio_0057.wav|Don't make me come down there and bonk you myself!
wavs/audio_0058.wav|Clawsslash! Teethchomp!
wavs/audio_0059.wav|I have sworn to vanquish all kinds of bad stuff, starting with your face!
wavs/audio_0060.wav|Saving the world is so muchfun!
wavs/audio_0061.wav|Mess with the yeti and you get the boy!
wavs/audio_0062.wav|It's not fighting if you're having fun!
wavs/audio_0063.wav|If we save the Freljord, everyonehasto like us!
wavs/audio_0064.wav|I don't know what 'dastardly' means, but I'm gonna punch it!
wavs/audio_0065.wav|Yeah! What he said!
wavs/audio_0066.wav|Evildoers beware!
wavs/audio_0067.wav|I learned how to fight from a song. (Willump noises) That's not weird! (Willump noises) It's cool!
wavs/audio_0068.wav|You bop and I'll boop, Willump!
wavs/audio_0069.wav|Didn't anyone tell you? The bad guys never win!
wavs/audio_0070.wav|And a little ofthat! Pow!
wavs/audio_0071.wav|The best part of being a hero... is shouting out your catchphrase!
wavs/audio_0072.wav|What you're doing is wrong!
wavs/audio_0073.wav|These bad guys aren't gonna bruise themselves!
wavs/audio_0074.wav|Willump! No...
wavs/audio_0075.wav|Willump! Don't leave me!
wavs/audio_0076.wav|Willump! I'll save you, Willump! I'll save you! I can save you. I can...
wavs/audio_0077.wav|My mom said as long as I remember her, she'll always come back... like Anivia.
wavs/audio_0078.wav|Our caravan used to race Anivia all across the Freljord!
wavs/audio_0079.wav|Thevault door! I bet Ornn carved it! (Willump noises) What? That's not a spoiler!
wavs/audio_0080.wav|Braum? I knew you were real! Will you be my dad?
wavs/audio_0081.wav|I can be a hero too! I'll show everyone in theFrostguard!
